/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7558594 (qual: 193) for base C, percentile 10, 3098291 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 4012441 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 13 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	193245	51658	189955	46381
chr2	191759	50802	189836	46104
chr3	179413	42783	0	0
chr4	171261	40366	164837	36588
chr5	152860	37931	151043	34526
chr6	161028	39587	153750	36019
chr7	166608	37999	140327	33709
chr8	133083	30401	131387	27744
chr9	117563	28983	116498	26386
chr10	124635	31936	123306	28851
chr11	156864	29948	151247	27123
chr12	112813	30803	109319	27727
chr13	91433	23184	90187	21126
chr14	87794	20689	77451	18613
chr15	81836	20138	76797	17754
chr16	96326	21948	86282	18793
chr17	77001	21163	68626	18391
chr18	81021	17086	72467	15304
chr19	63648	19562	58724	16939
chr20	65462	14965	57842	13064
chr21	39184	9520	38631	8681
chr22	44658	11010	39808	9696
