/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7636719 (qual: 195) for base C, percentile 10, 2011106 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3085079 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 2 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	184126	48979	180076	44348
chr2	190078	49629	188499	45202
chr3	171446	41414	167069	37841
chr4	177734	41426	171845	37949
chr5	145171	35741	143035	32629
chr6	161129	39338	152851	35983
chr7	148171	36848	137568	33218
chr8	126114	29106	123873	26574
chr9	114499	29663	112727	26760
chr10	122394	31750	120997	28997
chr11	163640	29159	160898	26641
chr12	108924	29854	107051	27127
chr13	88758	22663	87741	20936
chr14	106812	21468	80318	18817
chr15	93734	21424	82421	18353
chr16	87419	21702	80391	19069
chr17	90829	22401	86267	19967
chr18	73610	16962	71193	15466
chr19	64690	19327	62884	17173
chr20	62591	15062	54304	13304
chr21	37941	9388	37049	8533
chr22	62748	11146	51701	9445
