/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7519531 (qual: 192) for base C, percentile 10, 1556947 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2745890 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 29 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	183927	49013	181075	44014
chr2	194230	49790	191908	45141
chr3	164351	39854	160869	36217
chr4	178712	41926	173547	38278
chr5	145964	36270	143757	33016
chr6	160687	37317	146635	33823
chr7	151653	36260	135344	32287
chr8	129397	29544	127193	26892
chr9	101224	26113	99735	23167
chr10	120065	30366	118076	27477
chr11	144318	29332	115532	25623
chr12	106286	28349	103782	25480
chr13	86330	21359	85523	19599
chr14	109462	21937	81349	19111
chr15	91116	21165	84645	18594
chr16	91020	21093	78828	18055
chr17	83535	22452	73525	19698
chr18	74259	16462	70435	14950
chr19	65209	20050	62421	17676
chr20	70147	14592	52947	12601
chr21	44706	9916	43201	8865
chr22	46271	11427	41577	9954
