/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7441406 (qual: 190) for base C, percentile 10, 1679987 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2774244 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 19 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	181480	47886	178509	43302
chr2	193427	49730	191435	45362
chr3	177003	41788	171139	38049
chr4	167409	39709	165128	36593
chr5	144312	35895	140775	32778
chr6	171319	38838	154859	35233
chr7	159032	37104	138500	33097
chr8	134498	30562	132103	27906
chr9	118293	28440	116955	25948
chr10	117488	29725	115593	27080
chr11	152965	28560	109706	25010
chr12	108905	29734	107865	27013
chr13	89414	22406	87481	20583
chr14	102721	21660	83386	19227
chr15	91942	20661	85578	18527
chr16	84202	20582	76697	18084
chr17	75752	21666	71838	19249
chr18	72331	16982	69254	15401
chr19	67455	20045	64380	17678
chr20	65058	14705	52218	12956
chr21	37462	9037	36755	8185
chr22	68035	12580	54891	10864
