Inferred sex: male
  chrX contigs will be forced to maternal (hap1)
  chrY contigs will be forced to paternal (hap2)
Contig assignment summary (690 total):
  hap1 (#1) output      : 63
  hap2 (#2) output      : 54
    of which maternal   : 62
    of which paternal   : 50
    of which sex chrom  : 6 (chrX/Y hardcoded)
    of which unassigned : 5 (original haplotype kept)
  asm-unassigned (#0)   : 573 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr10             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr11             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr12             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr13             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr14             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr15             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr16             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr18             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr19             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr2              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr20             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr3              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr4              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr5              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr6              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr7              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              maternal → hap1 (#1)       paternal → hap2 (#2)

Chromosomes without PofO assignment (original labels kept): chr17, chrX, chrY
