/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7558594 (qual: 193) for base C, percentile 10, 1991105 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3128516 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 32 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	193241	50986	190762	46175
chr2	193778	50021	190783	45487
chr3	179951	41210	174196	37467
chr4	169410	40276	164822	36715
chr5	151765	37885	149691	34672
chr6	173344	40024	156176	36305
chr7	152179	36674	137416	32664
chr8	135402	30373	132828	27809
chr9	108703	27002	107170	24642
chr10	124247	31538	0	0
chr11	135304	27987	129140	25258
chr12	110176	29772	0	0
chr13	98556	23874	96811	22007
chr14	99919	20974	79334	18561
chr15	92587	21685	82820	18682
chr16	81858	20547	75371	17911
chr17	72377	20637	65992	18241
chr18	69101	16361	66093	14812
chr19	63932	18923	60729	16590
chr20	68738	14908	62758	13254
chr21	39070	9367	37292	8471
chr22	47310	11209	44319	9961
