/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7011719 (qual: 179) for base C, percentile 10, 1500771 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2699853 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 5 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	187729	50362	183620	44609
chr2	186115	48859	184494	43729
chr3	178885	41639	172212	37338
chr4	171254	40598	168441	36704
chr5	146557	36485	143326	32747
chr6	150064	37934	147781	34237
chr7	157522	36484	135662	31752
chr8	123142	28779	121257	25818
chr9	108407	27393	107114	24470
chr10	119518	30566	117994	27366
chr11	158947	28697	107848	24276
chr12	113171	30414	110467	26996
chr13	85026	21684	84047	19587
chr14	102046	21535	84488	18959
chr15	77677	19551	70045	16697
chr16	91951	20761	78425	17233
chr17	74622	20841	0	0
chr18	75202	16622	73439	14921
chr19	66120	20513	64034	17807
chr20	61058	15141	53906	13096
chr21	46334	9943	41662	8494
chr22	56802	11242	51300	9681
