/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7480469 (qual: 191) for base C, percentile 10, 2407293 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3473263 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 16 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	180714	48713	176894	43993
chr2	185716	49022	184021	44522
chr3	168309	41098	163948	37323
chr4	169381	40371	163552	36607
chr5	149788	37328	147561	33991
chr6	143139	36871	139945	33609
chr7	150767	37412	141331	33404
chr8	131591	30332	129042	27637
chr9	107831	28639	106215	25800
chr10	119661	30944	118165	28173
chr11	142108	27401	102456	23923
chr12	110786	30897	109599	27948
chr13	88869	22073	87488	20151
chr14	103794	21789	82320	19355
chr15	77101	19925	73434	17864
chr16	88610	21554	81649	18658
chr17	78889	21101	73581	18660
chr18	69615	16279	66510	14777
chr19	63191	18899	59742	16563
chr20	73499	15276	60456	13344
chr21	46993	10598	45540	9559
chr22	68870	12107	48211	10355
