Inferred sex: female
Contig assignment summary (1551 total):
  hap1 (#1) output      : 151
  hap2 (#2) output      : 171
    of which maternal   : 149
    of which paternal   : 170
    of which sex chrom  : 0 (chrX/Y hardcoded)
    of which unassigned : 3 (original haplotype kept)
  asm-unassigned (#0)   : 1229 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr10             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr11             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr12             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr13             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr14             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr15             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr16             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr17             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr18             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr19             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr2              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr20             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr3              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr4              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr5              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr6              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr7              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              paternal → hap2 (#2)       maternal → hap1 (#1)

Chromosomes without PofO assignment (original labels kept): chrX
