contig	color
contig-0000001	#8C564B	chrY
contig-0000002	#8C564B	chrY
contig-0000003	#E69F00	chr1
contig-0000004	#D57533	chr13
contig-0000005	#D57533	chr13
contig-0000006	#D57533	chr13
contig-0000008	#E6B847	chr15
contig-0000009	#00A880	chr10
contig-0000010	#00A880	chr10
contig-0000011	#00A880	chr10
contig-0000012	#808080	chr21
contig-0000014	#808080	chr21
contig-0000015	#D57533	chr13
contig-0000016	#D57533	chr13
contig-0000017	#D57533	chr13
contig-0000018	#D57533	chr13
contig-0000019	#808080	chr21
contig-0000020	#808080	chr21
contig-0000021	#737373	chr14
contig-0000022	#737373	chr14
contig-0000023	#737373	chr14
contig-0000024	#808080	chr21
contig-0000026	#808080	chr21
contig-0000027	#808080	chr21
contig-0000028	#808080	chr21
contig-0000029	#E6B847	chr15
contig-0000030	#E6B847	chr15
contig-0000031	#E6B847	chr15
contig-0000032	#E6B847	chr15
contig-0000033	#E6B847	chr15
contig-0000034	#E6B847	chr15
contig-0000035	#E6B847	chr15
contig-0000036	#E6B847	chr15
contig-0000037	#808080	chr21
contig-0000038	#E6C47F	chr22
contig-0000039	#808080	chr21
contig-0000040	#D57533	chr13
contig-0000041	#E6C47F	chr22
contig-0000042	#E6C47F	chr22
contig-0000043	#808080	chr21
contig-0000044	#D57533	chr13
contig-0000045	#D57533	chr13
contig-0000046	#D57533	chr13
contig-0000047	#E6C47F	chr22
contig-0000048	#E6C47F	chr22
contig-0000049	#E6C47F	chr22
contig-0000050	#E6C47F	chr22
contig-0000051	#E6C47F	chr22
contig-0000052	#E6C47F	chr22
contig-0000053	#808080	chr21
contig-0000054	#D57533	chr13
contig-0000055	#D57533	chr13
contig-0000056	#D57533	chr13
contig-0000057	#D57533	chr13
contig-0000058	#D57533	chr13
contig-0000059	#D57533	chr13
contig-0000060	#D57533	chr13
contig-0000061	#D57533	chr13
contig-0000062	#808080	chr21
contig-0000063	#D57533	chr13
contig-0000064	#D57533	chr13
contig-0000065	#D57533	chr13
contig-0000066	#D57533	chr13
contig-0000067	#D57533	chr13
contig-0000068	#737373	chr14
contig-0000069	#E6C47F	chr22
contig-0000070	#737373	chr14
contig-0000071	#E6C47F	chr22
contig-0000072	#808080	chr21
contig-0000073	#737373	chr14
contig-0000074	#808080	chr21
contig-0000075	#808080	chr21
contig-0000077	#737373	chr14
contig-0000078	#808080	chr21
contig-0000080	#338CC2	chr19
contig-0000081	#D57533	chr13
contig-0000082	#D57533	chr13
contig-0000083	#E69F00	chr1
contig-0000084	#5699E9	chr9
contig-0000085	#E69F00	chr1
contig-0000086	#E69F00	chr1
contig-0000087	#E69F00	chr1
contig-0000088	#E69F00	chr1
contig-0000089	#E69F00	chr1
contig-0000090	#E69F00	chr1
contig-0000091	#E69F00	chr1
contig-0000092	#E69F00	chr1
contig-0000093	#E69F00	chr1
contig-0000094	#5699E9	chr9
contig-0000095	#E69F00	chr1
contig-0000096	#E69F00	chr1
contig-0000097	#D58C66	chr20
contig-0000098	#E6C47F	chr22
contig-0000099	#D57533	chr13
contig-0000100	#D57533	chr13
contig-0000101	#E69F00	chr1
contig-0000103	#808080	chr21
contig-0000104	#E6C47F	chr22
contig-0000105	#737373	chr14
contig-0000106	#5699E9	chr9
contig-0000107	#808080	chr21
contig-0000108	#737373	chr14
contig-0000109	#56B4E9	chr2
contig-0000110	#56B4E9	chr2
contig-0000111	#56B4E9	chr2
contig-0000112	#56B4E9	chr2
contig-0000113	#56B4E9	chr2
contig-0000114	#E69F00	chr1
contig-0000115	#737373	chr14
contig-0000116	#5699E9	chr9
contig-0000117	#5699E9	chr9
contig-0000119	#D57533	chr13
contig-0000120	#737373	chr14
contig-0000121	#D57533	chr13
contig-0000122	#E6C47F	chr22
contig-0000123	#D57533	chr13
contig-0000126	#E6C47F	chr22
contig-0000127	#D57533	chr13
contig-0000128	#E6C47F	chr22
contig-0000131	#737373	chr14
contig-0000132	#737373	chr14
contig-0000133	#737373	chr14
contig-0000134	#737373	chr14
contig-0000135	#D57533	chr13
contig-0000136	#737373	chr14
contig-0000137	#737373	chr14
contig-0000138	#D57533	chr13
contig-0000139	#E69F00	chr1
contig-0000140	#E69F00	chr1
contig-0000141	#E69F00	chr1
contig-0000142	#E6C47F	chr22
contig-0000143	#E69F00	chr1
contig-0000144	#E6AB23	chr8
contig-0000145	#E6AB23	chr8
contig-0000146	#E6AB23	chr8
contig-0000147	#E6AB23	chr8
contig-0000148	#E6AB23	chr8
contig-0000149	#E6AB23	chr8
contig-0000150	#E6AB23	chr8
contig-0000151	#808080	chr21
contig-0000152	#D57533	chr13
contig-0000153	#E6C47F	chr22
contig-0000154	#808080	chr21
contig-0000155	#808080	chr21
contig-0000157	#338CC2	chr19
contig-0000158	#D57533	chr13
contig-0000159	#E6B847	chr15
contig-0000160	#E6C47F	chr22
contig-0000161	#808080	chr21
contig-0000164	#E69F00	chr1
contig-0000165	#D57533	chr13
contig-0000166	#D57533	chr13
contig-0000167	#E69F00	chr1
contig-0000168	#E6C47F	chr22
contig-0000169	#808080	chr21
contig-0000170	#D57533	chr13
contig-0000171	#E6B847	chr15
contig-0000174	#D57533	chr13
contig-0000175	#E6C47F	chr22
contig-0000176	#D57533	chr13
contig-0000177	#D57533	chr13
contig-0000178	#D57533	chr13
contig-0000179	#D57533	chr13
contig-0000181	#D57533	chr13
contig-0000182	#D57533	chr13
contig-0000183	#D57533	chr13
contig-0000184	#D57533	chr13
contig-0000185	#D57533	chr13
contig-0000186	#D57533	chr13
contig-0000187	#D57533	chr13
contig-0000188	#D57533	chr13
contig-0000190	#0072B2	chr5
contig-0000191	#D57533	chr13
contig-0000192	#D57533	chr13
contig-0000193	#D57533	chr13
contig-0000194	#D57533	chr13
contig-0000195	#808080	chr21
contig-0000196	#808080	chr21
contig-0000197	#808080	chr21
contig-0000198	#D57533	chr13
contig-0000199	#0072B2	chr5
contig-0000200	#E6B847	chr15
contig-0000201	#808080	chr21
contig-0000202	#E6B847	chr15
contig-0000203	#E6B847	chr15
contig-0000204	#E6B847	chr15
contig-0000205	#E6B847	chr15
contig-0000206	#E6B847	chr15
contig-0000207	#E6B847	chr15
contig-0000208	#009E73	chr3
contig-0000209	#0072B2	chr5
contig-0000210	#737373	chr14
contig-0000211	#737373	chr14
contig-0000212	#737373	chr14
contig-0000213	#808080	chr21
contig-0000214	#D57533	chr13
contig-0000215	#D57533	chr13
contig-0000216	#737373	chr14
contig-0000217	#0072B2	chr5
contig-0000221	#737373	chr14
contig-0000222	#737373	chr14
contig-0000223	#9467BD	chrX
contig-0000224	#0072B2	chr5
contig-0000225	#9467BD	chrX
contig-0000226	#E6C47F	chr22
contig-0000227	#E6C47F	chr22
contig-0000228	#E6C47F	chr22
contig-0000229	#E6C47F	chr22
contig-0000230	#E6C47F	chr22
contig-0000231	#E6C47F	chr22
contig-0000232	#E6C47F	chr22
contig-0000233	#E6C47F	chr22
contig-0000234	#E69F00	chr1
contig-0000235	#808080	chr21
contig-0000236	#666666	chr7
contig-0000237	#666666	chr7
contig-0000238	#666666	chr7
contig-0000239	#666666	chr7
contig-0000240	#666666	chr7
contig-0000241	#E6C47F	chr22
contig-0000243	#E69F00	chr1
contig-0000245	#D57533	chr13
