#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	250374
syndip	chr2	0	3155	242694066	238878
syndip	chr3	0	2460	201100844	206196
syndip	chr4	0	3022	193490816	223895
syndip	chr5	0	1855	182044304	187588
syndip	chr6	0	8047	172124006	209107
syndip	chr7	0	3200	160565562	188396
syndip	chrX	0	5347	154256551	129273
syndip	chr9	0	3545	150614219	158547
syndip	chr8	0	2183	146249199	151341
syndip	chr11	0	1837	135125485	192601
syndip	chr10	0	3727	134723423	151036
syndip	chr12	0	3133	133322669	138902
syndip	chr13	0	4933280	113562614	108502
syndip	chr14	0	105026	101106344	137834
syndip	chr15	0	6091	99749463	161131
syndip	chr16	0	3666	96327872	130340
syndip	chr17	0	2260	84237411	95672
syndip	chr18	0	163949	80539281	96283
syndip	chr20	0	2374	66203987	85305
syndip	chr19	0	2210	61703957	86759
syndip	chr22	0	4599	51322042	113979
syndip	chr21	0	3048	45086599	84005
