Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	114.70224	0	199	0	4	0	199	0	212	0
chr10	Maternal	Paternal	1.0	85.25861	0	161	0	3	0	161	0	168	0
chr11	Maternal	Paternal	1.0	524.24674	0	714	0	6	0	714	0	722	0
chr12	Paternal	Maternal	0.87721	21.997929999999997	3.07916	102	7	3	1	102	7	232	7
chr13	Paternal	Maternal	0.97041	240.0821	7.321199999999999	327	24	5	1	327	24	366	24
chr14	Maternal	Paternal	1.0	269.84116	0	385	0	5	0	385	0	438	0
chr15	Paternal	Maternal	0.99849	534.8199900000001	0.80946	962	2	27	0	964	0	1307	0
chr16	Paternal	Maternal	1.0	204.44791999999995	0	434	0	7	0	434	0	574	0
chr17	Paternal	Maternal	1.0	7.81776	0	36	0	1	0	36	0	139	0
chr18	Maternal	Paternal	1.0	92.69736	0	171	0	3	0	171	0	232	0
chr19	Paternal	Maternal	1.0	446.2266000000001	0	619	0	8	0	619	0	695	0
chr2	Maternal	Paternal	1.0	404.55851	0	649	0	6	0	649	0	672	0
chr20	Paternal	Maternal	1.0	970.62574	0	1289	0	9	0	1289	0	1431	0
chr21	Paternal	Maternal	1.0	62.4276	0	112	0	2	0	112	0	113	0
chr22	Maternal	Paternal	1.0	61.27702000000001	0	88	0	2	0	88	0	104	0
chr3	Maternal	Paternal	1.0	37.00695	0	84	0	2	0	84	0	84	0
chr4	Maternal	Paternal	1.0	155.87396999999999	0	279	0	5	0	279	0	297	0
chr5	Maternal	Paternal	1.0	118.6015	0	261	0	5	0	261	0	286	0
chr6	Maternal	Paternal	1.0	322.08724	0	430	0	4	0	430	0	442	0
chr7	Maternal	Paternal	0.9915	618.02515	5.30048	839	16	9	1	839	16	863	16
chr8	Maternal	Paternal	1.0	300.31332	0	514	0	8	0	514	0	647	0
chr9	Paternal	Maternal	0.70408	62.82876	26.407120000000003	134	34	2	1	134	34	145	34
