Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	107.11032	0	179	0	3	0	179	0	197	0
chr10	Maternal	Paternal	0.8727	65.64016000000001	9.57474	136	27	2	1	136	27	136	27
chr11	Paternal	Maternal	1.0	474.24064	0	681	0	6	0	681	0	723	0
chr12	Maternal	Paternal	0.91871	150.92779000000002	13.3552	315	40	5	1	315	40	320	40
chr13	Paternal	Maternal	0.96517	177.25081	6.3971599999999995	260	22	3	1	260	22	326	22
chr14	Paternal	Maternal	1.0	275.53061	0	460	0	5	0	460	0	537	0
chr15	Maternal	Paternal	1.0	531.1253600000001	0	977	0	27	0	977	0	1513	0
chr16	Paternal	Maternal	1.0	146.26405999999997	0	296	0	6	0	296	0	551	0
chr18	Paternal	Maternal	1.0	104.75833	0	226	0	3	0	226	0	232	0
chr19	Paternal	Maternal	1.0	418.83158	0	598	0	8	0	598	0	695	0
chr2	Paternal	Maternal	1.0	343.64832	0	541	0	4	0	541	0	553	0
chr20	Maternal	Paternal	1.0	930.06502	0	1291	0	9	0	1291	0	1406	0
chr21	Paternal	Maternal	1.0	70.57884	0	132	0	3	0	132	0	134	0
chr22	Paternal	Maternal	1.0	56.4417	0	70	0	1	0	70	0	82	0
chr3	Maternal	Paternal	1.0	4.793880000000001	0	21	0	1	0	21	0	27	0
chr4	Maternal	Paternal	1.0	135.22484	0	289	0	5	0	289	0	297	0
chr5	Maternal	Paternal	1.0	60.185810000000004	0	112	0	2	0	112	0	122	0
chr6	Paternal	Maternal	1.0	263.55599	0	370	0	3	0	370	0	373	0
chr7	Maternal	Paternal	1.0	590.15868	0	800	0	8	0	800	0	843	0
chr8	Maternal	Paternal	1.0	294.58796	0	527	0	8	0	527	0	615	0
chr9	Paternal	Maternal	0.71093	74.69073	30.36918	167	79	2	1	167	79	176	82
