Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.47597	0.43162	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.35255	0.47243	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	9	0	0.4564	0.31002	0.76642	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	19	0	0	0	0	0.28177	0.36689	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	42	0	0.3836	0.57484	0.91687	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	128	0	0.67884	0.28866	0.9354	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.92867	0.90844	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.93516	0.95674	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	27	0	0.35462	0.48679	0.84141	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	72	0	0.48926	0	0.88194	0.39268	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.84311	0.8194	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	64	0	0.47521	0	0.95131	0.4761	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	0	0	0	0.07182	0.09829	Ignored:DidNotMeet_cpg_difference
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	242	0	0.81694	0	0.93263	0.13689	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	61	0	0.43287	0	0.7702	0.37806	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	76	0	0.4854	0	0.67167	0.26397	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	204	0	0.86788	0.06957	0.93435	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	55	0	0.43526	0.47135	0.90661	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.52259	0.62245	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	43	0	0.28509	0.59542	0.87332	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	80	0	0.32322	0	0.4532	0.13819	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	69	0	0.32706	0.29654	0.62359	Included
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.52605	0.57264	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.18723	0.11462	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	143	0	0.62512	0	0.68147	0.05635	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	16	16	0	0.64839	0	0.89367	0.24528	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	7	0	0.39095	0.4061	0.79704	Included
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	40	0	40	0	0.33388	0.53171	0.86559	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.69842	0.61063	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	0	205	0	0.72789	0.36399	0.95175	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	0	21	0	0.53202	0.36108	0.80381	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	0	34	0	0.49591	0.34474	0.79486	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.58752	0.43803	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	22	0	0.29078	0	0.88464	0.59385	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	102	0	0.2734	0.32447	0.58431	Included
