contig	color
contig-0000001	#CCA0BF	chr18
contig-0000002	#737373	chr14
contig-0000003	#737373	chr14
contig-0000004	#D58C66	chr20
contig-0000005	#666666	chr7
contig-0000006	#666666	chr7
contig-0000007	#E6C47F	chr22
contig-0000008	#D57533	chr13
contig-0000009	#E6C47F	chr22
contig-0000010	#D57533	chr13
contig-0000012	#D58C66	chr20
contig-0000013	#D57533	chr13
contig-0000014	#D57533	chr13
contig-0000015	#808080	chr21
contig-0000017	#56B4E9	chr2
contig-0000018	#D58C66	chr20
contig-0000019	#56B4E9	chr2
contig-0000020	#56B4E9	chr2
contig-0000021	#E6C47F	chr22
contig-0000022	#D57533	chr13
contig-0000023	#D57533	chr13
contig-0000024	#808080	chr21
contig-0000025	#808080	chr21
contig-0000026	#D58C66	chr20
contig-0000027	#D57533	chr13
contig-0000028	#D57533	chr13
contig-0000031	#D57533	chr13
contig-0000032	#56B4E9	chr2
contig-0000033	#737373	chr14
contig-0000034	#E6B847	chr15
contig-0000035	#E6C47F	chr22
contig-0000036	#E6B847	chr15
contig-0000037	#D57533	chr13
contig-0000038	#E6B847	chr15
contig-0000039	#737373	chr14
contig-0000040	#56B4E9	chr2
contig-0000041	#D57533	chr13
contig-0000042	#56B4E9	chr2
contig-0000043	#808080	chr21
contig-0000045	#56B4E9	chr2
contig-0000047	#1A7FBA	chr12
contig-0000048	#1A7FBA	chr12
contig-0000049	#1A7FBA	chr12
contig-0000050	#1A7FBA	chr12
contig-0000051	#1A7FBA	chr12
contig-0000054	#56B4E9	chr2
contig-0000056	#0072B2	chr5
contig-0000057	#0072B2	chr5
contig-0000058	#0072B2	chr5
contig-0000059	#0072B2	chr5
contig-0000060	#0072B2	chr5
contig-0000061	#808080	chr21
contig-0000062	#00A880	chr10
contig-0000064	#E6B847	chr15
contig-0000065	#009E73	chr3
contig-0000066	#009E73	chr3
contig-0000067	#009E73	chr3
contig-0000068	#009E73	chr3
contig-0000069	#00A880	chr10
contig-0000070	#E69F00	chr1
contig-0000071	#E69F00	chr1
contig-0000072	#E69F00	chr1
contig-0000073	#E69F00	chr1
contig-0000074	#00A880	chr10
contig-0000077	#808080	chr21
contig-0000078	#00A880	chr10
contig-0000079	#808080	chr21
contig-0000080	#D57533	chr13
contig-0000081	#808080	chr21
contig-0000082	#808080	chr21
contig-0000083	#808080	chr21
contig-0000084	#00A880	chr10
contig-0000085	#808080	chr21
contig-0000086	#D57533	chr13
contig-0000087	#D57533	chr13
contig-0000088	#808080	chr21
contig-0000089	#E69F00	chr1
contig-0000090	#E6B847	chr15
contig-0000091	#D57533	chr13
contig-0000092	#E6B847	chr15
contig-0000093	#808080	chr21
contig-0000094	#D57533	chr13
contig-0000095	#CCA0BF	chr18
contig-0000096	#CCA0BF	chr18
contig-0000097	#CCA0BF	chr18
contig-0000098	#CCA0BF	chr18
contig-0000099	#CCA0BF	chr18
contig-0000100	#D57533	chr13
contig-0000101	#D57533	chr13
contig-0000102	#E6C47F	chr22
contig-0000103	#D57533	chr13
contig-0000104	#E6C47F	chr22
contig-0000105	#E6C47F	chr22
contig-0000106	#E6C47F	chr22
contig-0000107	#E6C47F	chr22
contig-0000108	#808080	chr21
contig-0000109	#E6C47F	chr22
contig-0000110	#E6C47F	chr22
contig-0000111	#E6C47F	chr22
contig-0000112	#D57533	chr13
contig-0000113	#D57533	chr13
contig-0000114	#E6C47F	chr22
contig-0000115	#E6C47F	chr22
contig-0000116	#E6C47F	chr22
contig-0000117	#E6C47F	chr22
contig-0000118	#E6C47F	chr22
contig-0000120	#338CC2	chr19
contig-0000121	#D57533	chr13
contig-0000122	#E69F00	chr1
contig-0000124	#D57533	chr13
contig-0000125	#D57533	chr13
contig-0000126	#1A7FBA	chr12
contig-0000127	#D57533	chr13
contig-0000128	#D57533	chr13
contig-0000129	#D57533	chr13
contig-0000130	#D57533	chr13
contig-0000131	#737373	chr14
contig-0000132	#D57533	chr13
contig-0000133	#D57533	chr13
contig-0000134	#D57533	chr13
contig-0000135	#D57533	chr13
contig-0000136	#E6C47F	chr22
contig-0000137	#1A7FBA	chr12
contig-0000138	#D57533	chr13
contig-0000139	#D57533	chr13
contig-0000140	#D57533	chr13
contig-0000141	#D57533	chr13
contig-0000142	#338CC2	chr19
contig-0000143	#1A7FBA	chr12
contig-0000144	#338CC2	chr19
contig-0000145	#338CC2	chr19
contig-0000146	#338CC2	chr19
contig-0000147	#338CC2	chr19
contig-0000148	#5699E9	chr9
contig-0000149	#5699E9	chr9
contig-0000152	#1A7FBA	chr12
contig-0000153	#808080	chr21
contig-0000154	#E69F00	chr1
contig-0000155	#1A7FBA	chr12
contig-0000156	#808080	chr21
contig-0000157	#808080	chr21
contig-0000158	#D57533	chr13
contig-0000159	#D57533	chr13
contig-0000160	#009E73	chr3
contig-0000161	#1A7FBA	chr12
contig-0000162	#1A7FBA	chr12
contig-0000163	#1A7FBA	chr12
contig-0000164	#1A7FBA	chr12
contig-0000165	#1A7FBA	chr12
contig-0000166	#1A7FBA	chr12
contig-0000167	#D55E00	chr6
contig-0000168	#D55E00	chr6
contig-0000169	#D55E00	chr6
contig-0000170	#009E73	chr3
contig-0000171	#D57533	chr13
contig-0000172	#808080	chr21
contig-0000173	#D57533	chr13
contig-0000174	#D57533	chr13
contig-0000175	#009E73	chr3
contig-0000176	#808080	chr21
contig-0000177	#D57533	chr13
contig-0000178	#D57533	chr13
contig-0000179	#D57533	chr13
contig-0000180	#009E73	chr3
contig-0000181	#D57533	chr13
contig-0000182	#E69F00	chr1
contig-0000183	#E69F00	chr1
contig-0000184	#E69F00	chr1
contig-0000185	#E6C47F	chr22
contig-0000186	#E6B847	chr15
contig-0000187	#E6C47F	chr22
contig-0000188	#E6B847	chr15
contig-0000189	#009E73	chr3
contig-0000190	#D57533	chr13
contig-0000191	#CCA0BF	chr18
contig-0000192	#E69F00	chr1
contig-0000193	#E69F00	chr1
contig-0000194	#E69F00	chr1
contig-0000195	#E69F00	chr1
contig-0000196	#D57533	chr13
contig-0000197	#808080	chr21
contig-0000198	#808080	chr21
contig-0000199	#808080	chr21
contig-0000201	#D57533	chr13
contig-0000202	#666666	chr7
contig-0000205	#E69F00	chr1
contig-0000206	#808080	chr21
contig-0000207	#E6C47F	chr22
contig-0000208	#E6C47F	chr22
contig-0000209	#666666	chr7
contig-0000210	#D57533	chr13
contig-0000211	#808080	chr21
contig-0000212	#D57533	chr13
contig-0000213	#D57533	chr13
contig-0000214	#D57533	chr13
contig-0000215	#D57533	chr13
contig-0000216	#E6C47F	chr22
contig-0000217	#E69F00	chr1
contig-0000218	#666666	chr7
contig-0000219	#E69F00	chr1
contig-0000220	#56B4E9	chr2
contig-0000221	#56B4E9	chr2
contig-0000222	#56B4E9	chr2
contig-0000223	#808080	chr21
contig-0000226	#E6C47F	chr22
contig-0000227	#808080	chr21
contig-0000228	#E6B847	chr15
contig-0000229	#808080	chr21
contig-0000230	#D57533	chr13
contig-0000231	#E6B847	chr15
contig-0000232	#666666	chr7
contig-0000233	#E6AB23	chr8
contig-0000234	#E6AB23	chr8
contig-0000235	#E6AB23	chr8
contig-0000236	#D57533	chr13
contig-0000237	#D57533	chr13
contig-0000238	#D57533	chr13
contig-0000239	#D57533	chr13
contig-0000240	#E6C47F	chr22
contig-0000241	#666666	chr7
contig-0000242	#D57533	chr13
contig-0000244	#808080	chr21
contig-0000245	#56B4E9	chr2
contig-0000246	#666666	chr7
contig-0000247	#56B4E9	chr2
contig-0000248	#56B4E9	chr2
contig-0000249	#737373	chr14
contig-0000250	#1A7FBA	chr12
contig-0000251	#1A7FBA	chr12
contig-0000252	#1A7FBA	chr12
contig-0000253	#1A7FBA	chr12
contig-0000254	#1A7FBA	chr12
contig-0000255	#E6B847	chr15
contig-0000256	#E6B847	chr15
contig-0000257	#666666	chr7
contig-0000258	#E6B847	chr15
contig-0000259	#D55E00	chr6
contig-0000260	#D55E00	chr6
contig-0000261	#D55E00	chr6
contig-0000262	#D55E00	chr6
contig-0000263	#D55E00	chr6
contig-0000264	#0072B2	chr5
contig-0000265	#0072B2	chr5
contig-0000266	#0072B2	chr5
contig-0000267	#0072B2	chr5
contig-0000268	#666666	chr7
contig-0000269	#0072B2	chr5
contig-0000270	#0072B2	chr5
contig-0000271	#0072B2	chr5
contig-0000272	#0072B2	chr5
contig-0000273	#567DE9	chr16
contig-0000274	#567DE9	chr16
contig-0000275	#567DE9	chr16
contig-0000276	#E6B847	chr15
contig-0000277	#666666	chr7
contig-0000278	#CC8DB3	chr11
contig-0000279	#CC8DB3	chr11
contig-0000280	#CC8DB3	chr11
contig-0000281	#CC8DB3	chr11
contig-0000282	#CC8DB3	chr11
contig-0000284	#56B4E9	chr2
contig-0000285	#009E73	chr3
contig-0000286	#009E73	chr3
contig-0000287	#666666	chr7
contig-0000288	#009E73	chr3
contig-0000289	#E6C47F	chr22
contig-0000290	#CC79A7	chr4
contig-0000291	#CC79A7	chr4
contig-0000292	#CC79A7	chr4
contig-0000293	#CC79A7	chr4
contig-0000294	#CC79A7	chr4
contig-0000295	#CC79A7	chr4
contig-0000296	#CC79A7	chr4
contig-0000297	#CC79A7	chr4
contig-0000298	#CC79A7	chr4
contig-0000299	#CC79A7	chr4
contig-0000300	#1A7FBA	chr12
contig-0000301	#1A7FBA	chr12
contig-0000302	#1A7FBA	chr12
contig-0000303	#0072B2	chr5
contig-0000304	#0072B2	chr5
contig-0000305	#0072B2	chr5
contig-0000306	#0072B2	chr5
contig-0000307	#0072B2	chr5
contig-0000308	#9467BD	chrX
contig-0000309	#D57533	chr13
contig-0000310	#1A7FBA	chr12
contig-0000311	#567DE9	chr16
contig-0000312	#567DE9	chr16
contig-0000313	#567DE9	chr16
contig-0000314	#567DE9	chr16
contig-0000315	#567DE9	chr16
contig-0000316	#9467BD	chrX
contig-0000317	#009E73	chr3
contig-0000318	#009E73	chr3
contig-0000319	#009E73	chr3
contig-0000320	#009E73	chr3
contig-0000321	#009E73	chr3
contig-0000322	#E6B847	chr15
contig-0000323	#E6B847	chr15
contig-0000324	#E6B847	chr15
contig-0000325	#E6B847	chr15
contig-0000326	#E6B847	chr15
contig-0000327	#E6B847	chr15
contig-0000328	#E6B847	chr15
contig-0000329	#E6B847	chr15
contig-0000330	#1A7FBA	chr12
contig-0000331	#1A7FBA	chr12
contig-0000332	#1A7FBA	chr12
contig-0000333	#1A7FBA	chr12
contig-0000334	#1A7FBA	chr12
contig-0000335	#9467BD	chrX
contig-0000336	#1A7FBA	chr12
contig-0000337	#1A7FBA	chr12
contig-0000338	#1A7FBA	chr12
contig-0000339	#9467BD	chrX
contig-0000340	#E69F00	chr1
contig-0000341	#E69F00	chr1
contig-0000342	#E69F00	chr1
contig-0000343	#E69F00	chr1
contig-0000344	#E69F00	chr1
contig-0000345	#E69F00	chr1
contig-0000346	#CC79A7	chr4
contig-0000347	#CC79A7	chr4
contig-0000348	#CC79A7	chr4
contig-0000349	#567DE9	chr16
contig-0000350	#567DE9	chr16
contig-0000351	#567DE9	chr16
contig-0000352	#E6AB23	chr8
contig-0000353	#E6AB23	chr8
contig-0000354	#E6AB23	chr8
contig-0000355	#E6AB23	chr8
contig-0000356	#E6AB23	chr8
contig-0000357	#D55E00	chr6
contig-0000358	#D55E00	chr6
contig-0000359	#D55E00	chr6
contig-0000360	#D55E00	chr6
contig-0000361	#D55E00	chr6
contig-0000362	#E6AB23	chr8
contig-0000363	#E6AB23	chr8
contig-0000364	#E6AB23	chr8
contig-0000365	#E6AB23	chr8
contig-0000366	#E6AB23	chr8
contig-0000367	#E6AB23	chr8
contig-0000368	#666666	chr7
contig-0000369	#D57533	chr13
contig-0000370	#D57533	chr13
contig-0000371	#009E73	chr3
contig-0000372	#009E73	chr3
contig-0000373	#E6B847	chr15
contig-0000374	#009E73	chr3
contig-0000375	#808080	chr21
contig-0000376	#009E73	chr3
contig-0000377	#1A7FBA	chr12
contig-0000378	#1A7FBA	chr12
contig-0000379	#1A7FBA	chr12
contig-0000380	#CC8DB3	chr11
contig-0000381	#CC8DB3	chr11
contig-0000382	#CC8DB3	chr11
contig-0000383	#00B28C	chr17
contig-0000384	#00B28C	chr17
contig-0000385	#00B28C	chr17
contig-0000386	#00B28C	chr17
contig-0000387	#00B28C	chr17
contig-0000388	#E69F00	chr1
contig-0000389	#E69F00	chr1
contig-0000390	#D55E00	chr6
contig-0000391	#D55E00	chr6
contig-0000392	#D55E00	chr6
contig-0000393	#9467BD	chrX
contig-0000394	#D55E00	chr6
contig-0000395	#D55E00	chr6
contig-0000396	#D55E00	chr6
contig-0000397	#D55E00	chr6
contig-0000398	#D57533	chr13
contig-0000399	#D57533	chr13
contig-0000400	#00B28C	chr17
contig-0000401	#00B28C	chr17
contig-0000402	#00B28C	chr17
contig-0000403	#D58C66	chr20
contig-0000404	#D58C66	chr20
contig-0000405	#D58C66	chr20
contig-0000406	#D58C66	chr20
contig-0000407	#D58C66	chr20
contig-0000408	#737373	chr14
contig-0000409	#737373	chr14
contig-0000410	#737373	chr14
contig-0000411	#E6C47F	chr22
contig-0000412	#E6AB23	chr8
contig-0000413	#9467BD	chrX
contig-0000414	#E6AB23	chr8
contig-0000415	#E6AB23	chr8
contig-0000416	#737373	chr14
contig-0000417	#737373	chr14
contig-0000418	#56B4E9	chr2
contig-0000419	#737373	chr14
contig-0000420	#CCA0BF	chr18
contig-0000421	#009E73	chr3
contig-0000422	#009E73	chr3
contig-0000423	#D55E00	chr6
contig-0000425	#D55E00	chr6
contig-0000426	#D55E00	chr6
contig-0000427	#D55E00	chr6
contig-0000428	#D55E00	chr6
contig-0000429	#D55E00	chr6
contig-0000430	#D55E00	chr6
contig-0000431	#009E73	chr3
contig-0000432	#009E73	chr3
contig-0000433	#009E73	chr3
contig-0000434	#009E73	chr3
contig-0000435	#009E73	chr3
contig-0000436	#D55E00	chr6
contig-0000437	#D55E00	chr6
contig-0000438	#D55E00	chr6
contig-0000439	#737373	chr14
contig-0000440	#D57533	chr13
contig-0000441	#0072B2	chr5
contig-0000442	#0072B2	chr5
contig-0000443	#0072B2	chr5
contig-0000444	#0072B2	chr5
contig-0000445	#567DE9	chr16
contig-0000446	#567DE9	chr16
contig-0000447	#567DE9	chr16
contig-0000448	#E6B847	chr15
contig-0000449	#E6B847	chr15
contig-0000450	#0072B2	chr5
contig-0000451	#0072B2	chr5
contig-0000452	#0072B2	chr5
contig-0000453	#0072B2	chr5
contig-0000454	#0072B2	chr5
contig-0000455	#0072B2	chr5
contig-0000456	#00B28C	chr17
contig-0000457	#00B28C	chr17
contig-0000458	#00B28C	chr17
contig-0000459	#CC8DB3	chr11
contig-0000460	#CC8DB3	chr11
contig-0000461	#CC8DB3	chr11
contig-0000462	#737373	chr14
contig-0000463	#737373	chr14
contig-0000464	#00B28C	chr17
contig-0000465	#00B28C	chr17
contig-0000466	#0072B2	chr5
contig-0000467	#00B28C	chr17
contig-0000468	#D57533	chr13
contig-0000469	#808080	chr21
contig-0000470	#E6B847	chr15
contig-0000471	#D57533	chr13
contig-0000472	#808080	chr21
contig-0000473	#E6C47F	chr22
contig-0000474	#5699E9	chr9
contig-0000475	#5699E9	chr9
contig-0000476	#5699E9	chr9
contig-0000477	#E6B847	chr15
contig-0000478	#0072B2	chr5
contig-0000479	#5699E9	chr9
contig-0000480	#E69F00	chr1
contig-0000481	#E69F00	chr1
contig-0000482	#E69F00	chr1
contig-0000483	#E69F00	chr1
contig-0000484	#E69F00	chr1
contig-0000485	#56B4E9	chr2
contig-0000486	#56B4E9	chr2
contig-0000487	#56B4E9	chr2
contig-0000488	#0072B2	chr5
contig-0000489	#0072B2	chr5
contig-0000490	#0072B2	chr5
contig-0000491	#0072B2	chr5
contig-0000492	#00B28C	chr17
contig-0000493	#00B28C	chr17
contig-0000494	#00B28C	chr17
contig-0000495	#D58C66	chr20
contig-0000496	#D58C66	chr20
