contig	color	chromosome
haplotype1-0000001	#5699E9	chr9
haplotype1-0000002	#0072B2	chr5
haplotype1-0000003	#CC8DB3	chr11
haplotype1-0000004	#56B4E9	chr2
haplotype1-0000005	#CC8DB3	chr11
haplotype1-0000006	#D55E00	chr6
haplotype1-0000007	#E6B847	chr15
haplotype1-0000008	#567DE9	chr16
haplotype1-0000009	#D57533	chr13
haplotype1-0000010	#0072B2	chr5
haplotype1-0000011	#00B28C	chr17
haplotype1-0000012	#00B28C	chr17
haplotype1-0000013	#808080	chr21
haplotype1-0000014	#D57533	chr13
haplotype1-0000015	#009E73	chr3
haplotype1-0000016	#E6B847	chr15
haplotype1-0000017	#CCA0BF	chr18
haplotype1-0000018	#009E73	chr3
haplotype1-0000019	#CCA0BF	chr18
haplotype1-0000020	#009E73	chr3
haplotype1-0000021	#56B4E9	chr2
haplotype1-0000022	#D57533	chr13
haplotype1-0000023	#E6AB23	chr8
haplotype1-0000024	#666666	chr7
haplotype1-0000025	#56B4E9	chr2
haplotype1-0000026	#E6AB23	chr8
haplotype1-0000027	#D55E00	chr6
haplotype1-0000028	#666666	chr7
haplotype1-0000029	#1A7FBA	chr12
haplotype1-0000030	#1A7FBA	chr12
haplotype1-0000031	#E69F00	chr1
haplotype1-0000032	#D57533	chr13
haplotype1-0000033	#CCA0BF	chr18
haplotype1-0000034	#9467BD	chrX
haplotype1-0000035	#9467BD	chrX
haplotype1-0000036	#5699E9	chr9
haplotype1-0000037	#56B4E9	chr2
haplotype1-0000038	#56B4E9	chr2
haplotype1-0000039	#CC79A7	chr4
haplotype1-0000040	#CC79A7	chr4
haplotype1-0000041	#00A880	chr10
haplotype1-0000042	#9467BD	chrX
haplotype1-0000043	#56B4E9	chr2
haplotype1-0000044	#CC8DB3	chr11
haplotype1-0000045	#666666	chr7
haplotype1-0000046	#1A7FBA	chr12
haplotype1-0000047	#009E73	chr3
haplotype1-0000048	#D58C66	chr20
haplotype1-0000049	#5699E9	chr9
haplotype1-0000050	#808080	chr21
haplotype1-0000051	#9467BD	chrX
haplotype1-0000052	#E6B847	chr15
haplotype1-0000053	#5699E9	chr9
haplotype1-0000054	#9467BD	chrX
haplotype1-0000055	#E69F00	chr1
haplotype1-0000056	#CCA0BF	chr18
haplotype1-0000057	#9467BD	chrX
haplotype1-0000058	#737373	chr14
haplotype1-0000059	#00A880	chr10
haplotype1-0000060	#338CC2	chr19
haplotype1-0000061	#56B4E9	chr2
haplotype1-0000062	#CC79A7	chr4
haplotype1-0000063	#CC79A7	chr4
haplotype1-0000064	#9467BD	chrX
haplotype1-0000065	#E6AB23	chr8
haplotype1-0000066	#00A880	chr10
haplotype1-0000067	#666666	chr7
haplotype1-0000068	#8C564B	chrY
haplotype1-0000069	#666666	chr7
haplotype1-0000070	#9467BD	chrX
haplotype1-0000071	#9467BD	chrX
haplotype1-0000072	#E6B847	chr15
haplotype1-0000073	#56B4E9	chr2
haplotype1-0000074	#567DE9	chr16
haplotype1-0000075	#0072B2	chr5
haplotype1-0000076	#CCA0BF	chr18
haplotype1-0000077	#8C564B	chrY
haplotype1-0000078	#1A7FBA	chr12
haplotype1-0000079	#E69F00	chr1
haplotype1-0000080	#CC79A7	chr4
haplotype1-0000081	#8C564B	chrY
haplotype1-0000082	#E69F00	chr1
haplotype1-0000083	#D57533	chr13
haplotype1-0000084	#E6B847	chr15
haplotype1-0000085	#E6C47F	chr22
haplotype1-0000086	#D57533	chr13
haplotype1-0000087	#E69F00	chr1
haplotype1-0000088	#CC79A7	chr4
haplotype1-0000089	#00B28C	chr17
haplotype1-0000090	#E6B847	chr15
haplotype1-0000091	#00B28C	chr17
haplotype1-0000092	#CC79A7	chr4
haplotype1-0000093	#009E73	chr3
haplotype1-0000094	#5699E9	chr9
haplotype1-0000095	#CCA0BF	chr18
haplotype1-0000096	#5699E9	chr9
haplotype1-0000097	#E6AB23	chr8
haplotype1-0000098	#666666	chr7
haplotype1-0000099	#E6AB23	chr8
