Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	116.68912999999999	0	184	0	3	0	184	0	197	0
chr10	Paternal	Maternal	1.0	70.20272	0	168	0	3	0	168	0	168	0
chr11	Paternal	Maternal	1.0	475.91548	0	652	0	5	0	652	0	678	0
chr12	Paternal	Maternal	0.92442	37.5933	3.0734	141	11	3	1	141	11	252	21
chr13	Paternal	Maternal	1.0	196.34498	0	288	0	4	0	288	0	344	0
chr14	Paternal	Maternal	1.0	251.29057999999998	0	364	0	4	0	364	0	420	0
chr15	Maternal	Paternal	1.0	508.54313	0	952	0	29	0	952	0	1333	0
chr16	Paternal	Maternal	1.0	230.79638	0	437	0	7	0	437	0	578	0
chr17	Maternal	Paternal	1.0	19.48416	0	86	0	1	0	86	0	139	0
chr18	Paternal	Maternal	1.0	68.92758	0	159	0	2	0	159	0	190	0
chr19	Paternal	Maternal	1.0	482.06370000000004	0	641	0	9	0	641	0	703	0
chr2	Paternal	Maternal	1.0	396.94464000000005	0	666	0	7	0	666	0	705	0
chr20	Maternal	Paternal	1.0	941.56394	0	1240	0	9	0	1240	0	1360	0
chr21	Paternal	Maternal	1.0	52.19211	0	111	0	2	0	111	0	112	0
chr22	Maternal	Paternal	1.0	58.534819999999996	0	94	0	2	0	94	0	104	0
chr3	Maternal	Paternal	1.0	10.972529999999999	0	27	0	1	0	27	0	28	0
chr4	Maternal	Paternal	1.0	139.45529	0	281	0	5	0	281	0	289	0
chr5	Maternal	Paternal	1.0	14.01855	0	52	0	2	0	52	0	56	0
chr6	Maternal	Paternal	0.99861	316.71059	0.4402	430	2	4	1	430	2	442	16
chr7	Paternal	Maternal	1.0	583.8235999999999	0	772	0	7	0	772	0	797	0
chr8	Maternal	Paternal	1.0	325.57062	0	584	0	9	0	584	0	689	0
chr9	Paternal	Maternal	0.95587	131.72544	6.08124	251	22	4	1	251	22	261	22
