C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	haplotype1-0000009	134130074	93555871	95822667	-	chr12	133324548	37107155	39416140	2264572	2310814	60
G	haplotype1-0000009	134130074	99172705	102960475	-	chr12	133324548	30996980	34777380	3752124	3812899	60
G	haplotype1-0000010	82435704	55175231	56918487	-	chr17	84276897	27484633	29165416	1679131	1744129	60
G	haplotype1-0000010	82435704	58243749	60507101	-	chr17	84276897	22070078	24416130	2227754	2376423	60
J	haplotype1-0000012	39097903	35337831	36384011	-	chr21	45090682	9439631	10549895	1045052	1110792	60
J	haplotype1-0000012	39097903	35337839	36378389	-	chr13	113566686	12434767	13484431	1031262	1056534	0
G	haplotype1-0000016	138963242	71071441	74257418	-	chr9	150617247	76527146	79716935	3180457	3193938	60
G	haplotype1-0000016	138963242	90106388	91228967	-	chr9	150617247	47572771	48637439	1063405	1123445	60
G	haplotype1-0000017	185019343	127675016	131369150	-	chr5	182045439	50957050	54657451	3689327	3701635	60
G	haplotype1-0000017	185019343	137962267	139016952	-	chr5	182045439	45625978	46686347	1049963	1063421	60
G	haplotype1-0000018	192285836	137337110	138510987	-	chr4	193574945	55520289	56694422	1172676	1174460	60
G	haplotype1-0000018	192285836	143144558	145452631	-	chr4	193574945	46779684	49087297	2300971	2312713	60
G	haplotype1-0000025	96611049	88108211	89286845	-	chr14	101161492	12671268	13852387	1171130	1187358	60
G	haplotype1-0000025	96611049	90729404	94220626	-	chr14	101161492	6441420	9864189	3411107	3499980	60
G	haplotype1-0000027	79245795	57889446	59681538	-	chr18	80542538	20887475	22638660	1746208	1796476	60
G	haplotype1-0000027	79245795	64135703	67417241	-	chr18	80542538	11980102	15271895	3266227	3303841	60
G	haplotype1-0000030	201562890	105023135	106251183	-	chr3	201105948	95142521	96225364	1024838	1284514	60
G	haplotype1-0000030	201562890	111251797	114616445	-	chr3	201105948	87646622	91152308	3347573	3516169	60
# inter-chromosomal misjoins: 1,0
# intra-chromosomal gaps: 8,0
# candidate inversions in the middle: 0,0
# candidate inversions at contig ends: 2,0
