contig	color	chromosome
haplotype1-0000001	#567DE9	chr16
haplotype1-0000002	#666666	chr7
haplotype1-0000003	#D57533	chr13
haplotype1-0000004	#E69F00	chr1
haplotype1-0000005	#737373	chr14
haplotype1-0000006	#E6C47F	chr22
haplotype1-0000007	#56B4E9	chr2
haplotype1-0000008	#D55E00	chr6
haplotype1-0000009	#1A7FBA	chr12
haplotype1-0000010	#00B28C	chr17
haplotype1-0000011	#E6AB23	chr8
haplotype1-0000012	#808080	chr21
haplotype1-0000013	#E69F00	chr1
haplotype1-0000014	#CC8DB3	chr11
haplotype1-0000015	#338CC2	chr19
haplotype1-0000016	#5699E9	chr9
haplotype1-0000017	#0072B2	chr5
haplotype1-0000018	#CC79A7	chr4
haplotype1-0000019	#567DE9	chr16
haplotype1-0000020	#9467BD	chrX
haplotype1-0000021	#E6B847	chr15
haplotype1-0000022	#D58C66	chr20
haplotype1-0000023	#00A880	chr10
haplotype1-0000024	#737373	chr14
haplotype1-0000025	#737373	chr14
haplotype1-0000026	#E6B847	chr15
haplotype1-0000027	#CCA0BF	chr18
haplotype1-0000028	#808080	chr21
haplotype1-0000029	#D57533	chr13
haplotype1-0000030	#009E73	chr3
haplotype1-0000031	#CC79A7	chr4
haplotype1-0000032	#E6B847	chr15
haplotype1-0000033	#E6C47F	chr22
haplotype1-0000034	#737373	chr14
haplotype1-0000035	#56B4E9	chr2
haplotype1-0000036	#E6C47F	chr22
haplotype1-0000037	#00B28C	chr17
haplotype1-0000038	#567DE9	chr16
haplotype1-0000039	#567DE9	chr16
haplotype1-0000040	#567DE9	chr16
haplotype1-0000041	#808080	chr21
haplotype1-0000042	#666666	chr7
haplotype1-0000043	#009E73	chr3
haplotype1-0000044	#567DE9	chr16
haplotype1-0000045	#808080	chr21
haplotype1-0000046	#567DE9	chr16
haplotype1-0000047	#56B4E9	chr2
haplotype1-0000048	#D58C66	chr20
haplotype1-0000049	#808080	chr21
haplotype1-0000050	#CCA0BF	chr18
haplotype1-0000051	#CCA0BF	chr18
haplotype1-0000052	#CCA0BF	chr18
haplotype1-0000053	#CCA0BF	chr18
haplotype1-0000054	#CCA0BF	chr18
haplotype1-0000055	#009E73	chr3
haplotype1-0000056	#666666	chr7
haplotype1-0000057	#808080	chr21
haplotype1-0000058	#808080	chr21
haplotype1-0000059	#808080	chr21
haplotype1-0000060	#808080	chr21
haplotype1-0000061	#567DE9	chr16
haplotype1-0000062	#CCA0BF	chr18
haplotype1-0000063	#CCA0BF	chr18
haplotype1-0000064	#00B28C	chr17
haplotype1-0000065	#CC79A7	chr4
haplotype1-0000066	#00B28C	chr17
haplotype1-0000067	#CC79A7	chr4
haplotype1-0000068	#D55E00	chr6
haplotype1-0000069	#00A880	chr10
haplotype1-0000070	#00B28C	chr17
haplotype1-0000071	#00B28C	chr17
haplotype1-0000072	#808080	chr21
haplotype1-0000073	#808080	chr21
haplotype1-0000074	#808080	chr21
haplotype1-0000075	#009E73	chr3
haplotype1-0000076	#D57533	chr13
haplotype1-0000077	#338CC2	chr19
haplotype1-0000078	#00B28C	chr17
haplotype1-0000079	#567DE9	chr16
haplotype1-0000080	#D57533	chr13
haplotype1-0000081	#808080	chr21
haplotype1-0000082	#808080	chr21
haplotype1-0000083	#808080	chr21
haplotype1-0000084	#00B28C	chr17
haplotype1-0000085	#00B28C	chr17
haplotype1-0000086	#00B28C	chr17
haplotype1-0000087	#00B28C	chr17
haplotype1-0000088	#00B28C	chr17
haplotype1-0000089	#00B28C	chr17
haplotype1-0000090	#00B28C	chr17
haplotype1-0000091	#00B28C	chr17
haplotype1-0000092	#00B28C	chr17
haplotype1-0000093	#5699E9	chr9
haplotype1-0000094	#338CC2	chr19
haplotype1-0000095	#CC79A7	chr4
haplotype1-0000096	#5699E9	chr9
haplotype1-0000097	#009E73	chr3
haplotype1-0000098	#00B28C	chr17
haplotype1-0000099	#00A880	chr10
haplotype1-0000100	#CC8DB3	chr11
haplotype1-0000101	#1A7FBA	chr12
haplotype1-0000102	#5699E9	chr9
