T2T13_chr10_haplotype2-0000066:38081263-44746584	T2T13_chr10_haplotype2-0000066:38081264-44746584
T2T13_chr11_haplotype1-0000006:47819840-57089000	T2T13_chr11_haplotype1-0000006:47819841-57089000
T2T13_chr11_haplotype2-0000064:47710888-55707306	T2T13_chr11_haplotype2-0000064:47710889-55707306
T2T13_chr12_haplotype2-0000076:33374550-39203242	T2T13_chr12_haplotype2-0000076:33374551-39203242
T2T13_chr16_haplotype2-0000084:31974152-39305488	T2T13_chr16_haplotype2-0000084:31974153-39305488
T2T13_chr17_haplotype1-0000018:21999905-27718561	T2T13_chr17_haplotype1-0000018:21999906-27718561
T2T13_chr17_haplotype2-0000079:21866000-28852023	T2T13_chr17_haplotype2-0000079:21866001-28852023
T2T13_chr20_haplotype1-0000004:25362964-32313965	T2T13_chr20_haplotype1-0000004:25362965-32313965
T2T13_chr20_haplotype2-0000063:25322670-35707413	T2T13_chr20_haplotype2-0000063:25322671-35707413
T2T13_chr21_haplotype1-0000001:1-6957637	T2T13_chr21_haplotype1-0000001:2-6957637
T2T13_chr21_haplotype2-0000061:1-6643301	T2T13_chr21_haplotype2-0000061:2-6643301
T2T13_chr2_haplotype2-0000067:91130572-95281445	T2T13_chr2_haplotype2-0000067:91130573-95281445
T2T13_chr2_haplotype2-0000067:130834198-132875042	T2T13_chr2_haplotype2-0000067:130834199-132875042
T2T13_chr3_haplotype1-0000016:89340024-96026992	T2T13_chr3_haplotype1-0000016:89340025-96026992
T2T13_chr3_haplotype2-0000077:89313438-96539736	T2T13_chr3_haplotype2-0000077:89313439-96539736
T2T13_chr4_haplotype1-0000023:48625806-53903989	T2T13_chr4_haplotype1-0000023:48625807-53903989
T2T13_chr4_haplotype2-0000070:48843274-57326170	T2T13_chr4_haplotype2-0000070:48843275-57326170
T2T13_chr5_haplotype1-0000011:45312903-52709632	T2T13_chr5_haplotype1-0000011:45312904-52709632
T2T13_chr5_haplotype2-0000071:45649239-52765790	T2T13_chr5_haplotype2-0000071:45649240-52765790
T2T13_chr6_haplotype1-0000014:57377219-64033351	T2T13_chr6_haplotype1-0000014:57377220-64033351
T2T13_chr8_haplotype1-0000009:41878029-46942160	T2T13_chr8_haplotype1-0000009:41878030-46942160
T2T13_chr8_haplotype2-0000068:42214347-47590200	T2T13_chr8_haplotype2-0000068:42214348-47590200
T2T13_chr9_haplotype1-0000013:1-2276084	T2T13_chr9_haplotype1-0000013:2-2276084
T2T13_chr9_haplotype2-0000075:1-1711653	T2T13_chr9_haplotype2-0000075:2-1711653
T2T13_chrX_haplotype1-0000003:56833689-63198813	T2T13_chrX_haplotype1-0000003:56833690-63198813
T2T13_chrX_haplotype2-0000062:56727986-62898556	T2T13_chrX_haplotype2-0000062:56727987-62898556
T2T13_rc-chr10_haplotype1-0000015:38072935-43618458	T2T13_rc-chr10_haplotype1-0000015:38072936-43618458
T2T13_rc-chr12_haplotype1-0000008:33381386-39469083	T2T13_rc-chr12_haplotype1-0000008:33381387-39469083
T2T13_rc-chr13_haplotype1-0000026:1-10807551	T2T13_rc-chr13_haplotype1-0000026:2-10807551
T2T13_rc-chr13_haplotype2-0000085:4128067-11531048	T2T13_rc-chr13_haplotype2-0000085:4128068-11531048
T2T13_rc-chr14_haplotype1-0000027:2275237-9565606	T2T13_rc-chr14_haplotype1-0000027:2275238-9565606
T2T13_rc-chr14_haplotype1-0000045:1-56255	T2T13_rc-chr14_haplotype1-0000045:2-56255
T2T13_rc-chr14_haplotype2-0000087:5790699-13528144	T2T13_rc-chr14_haplotype2-0000087:5790700-13528144
T2T13_rc-chr14_unassigned-0000684:1-291313	T2T13_rc-chr14_unassigned-0000684:2-291313
T2T13_rc-chr15_haplotype1-0000010:10139906-17045909	T2T13_rc-chr15_haplotype1-0000010:10139907-17045909
T2T13_rc-chr15_haplotype2-0000069:4962878-11865060	T2T13_rc-chr15_haplotype2-0000069:4962879-11865060
T2T13_rc-chr16_haplotype1-0000022:32176369-40999567	T2T13_rc-chr16_haplotype1-0000022:32176370-40999567
T2T13_rc-chr18_haplotype1-0000007:14355443-21458267	T2T13_rc-chr18_haplotype1-0000007:14355444-21458267
T2T13_rc-chr18_haplotype2-0000088:14481405-19887303	T2T13_rc-chr18_haplotype2-0000088:14481406-19887303
T2T13_rc-chr19_haplotype1-0000021:23176420-31324023	T2T13_rc-chr19_haplotype1-0000021:23176421-31324023
T2T13_rc-chr19_haplotype2-0000080:23418842-30619690	T2T13_rc-chr19_haplotype2-0000080:23418843-30619690
T2T13_rc-chr1_haplotype1-0000005:121305875-128038831	T2T13_rc-chr1_haplotype1-0000005:121305876-128038831
T2T13_rc-chr1_haplotype2-0000081:120323947-127440509	T2T13_rc-chr1_haplotype2-0000081:120323948-127440509
T2T13_rc-chr22_haplotype1-0000002:200382-15589557	T2T13_rc-chr22_haplotype1-0000002:200383-15589557
T2T13_rc-chr22_haplotype2-0000074:1-14534271	T2T13_rc-chr22_haplotype2-0000074:2-14534271
T2T13_rc-chr2_haplotype1-0000025:91336743-95784556	T2T13_rc-chr2_haplotype1-0000025:91336744-95784556
T2T13_rc-chr2_haplotype1-0000025:131337169-133378014	T2T13_rc-chr2_haplotype1-0000025:131337170-133378014
T2T13_rc-chr6_haplotype2-0000073:57525818-64783627	T2T13_rc-chr6_haplotype2-0000073:57525819-64783627
T2T13_rc-chr7_haplotype1-0000012:57071205-65382536	T2T13_rc-chr7_haplotype1-0000012:57071206-65382536
T2T13_rc-chr7_haplotype2-0000072:57253505-65238666	T2T13_rc-chr7_haplotype2-0000072:57253506-65238666
T2T13_rc-chr9_haplotype1-0000019:39531653-48516815	T2T13_rc-chr9_haplotype1-0000019:39531654-48516815
T2T13_rc-chr9_haplotype1-0000019:60634698-62979220	T2T13_rc-chr9_haplotype1-0000019:60634699-62979220
T2T13_rc-chr9_haplotype2-0000082:39112013-50107557	T2T13_rc-chr9_haplotype2-0000082:39112014-50107557
T2T13_rc-chr9_haplotype2-0000082:63577002-65116768	T2T13_rc-chr9_haplotype2-0000082:63577003-65116768
