contig	color	chromosome
haplotype1-0000001	#E6C47F	chr22
haplotype1-0000002	#338CC2	chr19
haplotype1-0000003	#5699E9	chr9
haplotype1-0000004	#E6B847	chr15
haplotype1-0000005	#CC79A7	chr4
haplotype1-0000006	#666666	chr7
haplotype1-0000007	#D57533	chr13
haplotype1-0000008	#D58C66	chr20
haplotype1-0000009	#D55E00	chr6
haplotype1-0000010	#E69F00	chr1
haplotype1-0000011	#808080	chr21
haplotype1-0000012	#1A7FBA	chr12
haplotype1-0000013	#0072B2	chr5
haplotype1-0000014	#56B4E9	chr2
haplotype1-0000015	#CCA0BF	chr18
haplotype1-0000016	#00B28C	chr17
haplotype1-0000017	#009E73	chr3
haplotype1-0000018	#737373	chr14
haplotype1-0000019	#8C564B	chrY
haplotype1-0000020	#567DE9	chr16
haplotype1-0000021	#00A880	chr10
haplotype1-0000022	#CC8DB3	chr11
haplotype1-0000023	#E6AB23	chr8
haplotype1-0000024	#567DE9	chr16
haplotype1-0000025	#567DE9	chr16
haplotype1-0000026	#CC79A7	chr4
haplotype1-0000027	#CC79A7	chr4
haplotype1-0000028	#E6B847	chr15
haplotype1-0000029	#0072B2	chr5
haplotype1-0000030	#567DE9	chr16
haplotype1-0000031	#E69F00	chr1
haplotype1-0000032	#808080	chr21
haplotype1-0000033	#E6C47F	chr22
haplotype1-0000034	#00B28C	chr17
haplotype1-0000035	#CC79A7	chr4
haplotype1-0000036	#CC79A7	chr4
haplotype1-0000037	#CC79A7	chr4
haplotype1-0000038	#E6B847	chr15
haplotype1-0000039	#00B28C	chr17
haplotype1-0000040	#00B28C	chr17
haplotype1-0000041	#666666	chr7
haplotype1-0000042	#00B28C	chr17
haplotype1-0000043	#CC79A7	chr4
haplotype1-0000044	#E6B847	chr15
haplotype1-0000045	#009E73	chr3
haplotype1-0000046	#E69F00	chr1
haplotype1-0000047	#8C564B	chrY
haplotype1-0000048	#1A7FBA	chr12
haplotype1-0000049	#E6AB23	chr8
haplotype1-0000050	#E6B847	chr15
haplotype1-0000051	#E6B847	chr15
haplotype1-0000052	#E6B847	chr15
haplotype1-0000053	#E6B847	chr15
haplotype1-0000054	#CC79A7	chr4
haplotype1-0000055	#E69F00	chr1
haplotype1-0000056	#E6B847	chr15
haplotype1-0000057	#00B28C	chr17
haplotype1-0000058	#CC79A7	chr4
haplotype1-0000059	#1A7FBA	chr12
haplotype1-0000060	#1A7FBA	chr12
haplotype1-0000061	#00B28C	chr17
haplotype1-0000062	#5699E9	chr9
haplotype1-0000063	#5699E9	chr9
haplotype1-0000064	#E6B847	chr15
haplotype1-0000065	#56B4E9	chr2
haplotype1-0000066	#56B4E9	chr2
haplotype1-0000067	#E6B847	chr15
haplotype1-0000068	#666666	chr7
haplotype1-0000069	#E69F00	chr1
haplotype1-0000070	#E69F00	chr1
haplotype1-0000071	#567DE9	chr16
haplotype1-0000072	#567DE9	chr16
haplotype2-0000073	#E6C47F	chr22
haplotype2-0000074	#338CC2	chr19
haplotype2-0000075	#5699E9	chr9
haplotype2-0000076	#E6C47F	chr22
haplotype2-0000077	#9467BD	chrX
haplotype2-0000078	#E69F00	chr1
haplotype2-0000079	#666666	chr7
haplotype2-0000080	#D57533	chr13
haplotype2-0000081	#D58C66	chr20
haplotype2-0000082	#8C564B	chrY
haplotype2-0000083	#D55E00	chr6
haplotype2-0000084	#00B28C	chr17
haplotype2-0000085	#808080	chr21
haplotype2-0000086	#1A7FBA	chr12
haplotype2-0000087	#56B4E9	chr2
haplotype2-0000088	#CCA0BF	chr18
haplotype2-0000089	#CC79A7	chr4
haplotype2-0000090	#009E73	chr3
haplotype2-0000091	#737373	chr14
haplotype2-0000092	#567DE9	chr16
haplotype2-0000093	#00A880	chr10
haplotype2-0000094	#CC8DB3	chr11
haplotype2-0000095	#0072B2	chr5
haplotype2-0000096	#E6AB23	chr8
haplotype2-0000097	#E6B847	chr15
haplotype2-0000098	#0072B2	chr5
haplotype2-0000099	#CCA0BF	chr18
haplotype2-0000100	#0072B2	chr5
haplotype2-0000101	#0072B2	chr5
haplotype2-0000102	#0072B2	chr5
haplotype2-0000103	#CCA0BF	chr18
haplotype2-0000104	#CC79A7	chr4
