contig	color
contig-0000001	#009E73	chr3
contig-0000002	#009E73	chr3
contig-0000003	#CC79A7	chr4
contig-0000004	#E6AB23	chr8
contig-0000005	#567DE9	chr16
contig-0000006	#CC8DB3	chr11
contig-0000007	#CC8DB3	chr11
contig-0000008	#CC8DB3	chr11
contig-0000009	#CC8DB3	chr11
contig-0000010	#E69F00	chr1
contig-0000011	#E69F00	chr1
contig-0000012	#E69F00	chr1
contig-0000013	#E6B847	chr15
contig-0000014	#E6B847	chr15
contig-0000015	#567DE9	chr16
contig-0000016	#E6B847	chr15
contig-0000017	#666666	chr7
contig-0000018	#00A880	chr10
contig-0000019	#00A880	chr10
contig-0000020	#00A880	chr10
contig-0000021	#00A880	chr10
contig-0000022	#567DE9	chr16
contig-0000023	#567DE9	chr16
contig-0000024	#567DE9	chr16
contig-0000025	#666666	chr7
contig-0000026	#666666	chr7
contig-0000027	#E6AB23	chr8
contig-0000028	#E6AB23	chr8
contig-0000029	#E6AB23	chr8
contig-0000030	#E6AB23	chr8
contig-0000031	#567DE9	chr16
contig-0000032	#E6AB23	chr8
contig-0000033	#D57533	chr13
contig-0000034	#D57533	chr13
contig-0000035	#D57533	chr13
contig-0000036	#5699E9	chr9
contig-0000037	#5699E9	chr9
contig-0000038	#5699E9	chr9
contig-0000039	#5699E9	chr9
contig-0000040	#5699E9	chr9
contig-0000041	#5699E9	chr9
contig-0000042	#CC8DB3	chr11
contig-0000043	#00A880	chr10
contig-0000044	#00A880	chr10
contig-0000045	#00A880	chr10
contig-0000046	#009E73	chr3
contig-0000047	#009E73	chr3
contig-0000048	#009E73	chr3
contig-0000049	#009E73	chr3
contig-0000050	#009E73	chr3
contig-0000051	#D57533	chr13
contig-0000052	#D57533	chr13
contig-0000053	#CC8DB3	chr11
contig-0000054	#D57533	chr13
contig-0000055	#E6B847	chr15
contig-0000056	#E6B847	chr15
contig-0000057	#E6B847	chr15
contig-0000058	#0072B2	chr5
contig-0000059	#0072B2	chr5
contig-0000060	#CC8DB3	chr11
contig-0000061	#0072B2	chr5
contig-0000062	#E6AB23	chr8
contig-0000063	#E6AB23	chr8
contig-0000064	#56B4E9	chr2
contig-0000065	#56B4E9	chr2
contig-0000066	#56B4E9	chr2
contig-0000067	#5699E9	chr9
contig-0000068	#5699E9	chr9
contig-0000069	#5699E9	chr9
contig-0000070	#5699E9	chr9
contig-0000071	#CC8DB3	chr11
contig-0000072	#5699E9	chr9
contig-0000073	#56B4E9	chr2
contig-0000074	#56B4E9	chr2
contig-0000075	#56B4E9	chr2
contig-0000076	#737373	chr14
contig-0000077	#737373	chr14
contig-0000078	#737373	chr14
contig-0000079	#737373	chr14
contig-0000080	#737373	chr14
contig-0000081	#E6AB23	chr8
contig-0000082	#CC8DB3	chr11
contig-0000083	#E6AB23	chr8
contig-0000084	#E6AB23	chr8
contig-0000085	#E6AB23	chr8
contig-0000086	#E6AB23	chr8
contig-0000087	#CC8DB3	chr11
contig-0000088	#CC8DB3	chr11
contig-0000089	#CC8DB3	chr11
contig-0000090	#CC8DB3	chr11
contig-0000091	#CC8DB3	chr11
contig-0000092	#CC8DB3	chr11
contig-0000093	#CC8DB3	chr11
contig-0000094	#CC79A7	chr4
contig-0000095	#737373	chr14
contig-0000096	#567DE9	chr16
contig-0000097	#567DE9	chr16
contig-0000098	#567DE9	chr16
contig-0000099	#567DE9	chr16
contig-0000100	#CC79A7	chr4
contig-0000101	#CC79A7	chr4
contig-0000102	#CC79A7	chr4
contig-0000103	#E6AB23	chr8
contig-0000104	#CC8DB3	chr11
contig-0000105	#CC79A7	chr4
contig-0000106	#CC79A7	chr4
contig-0000107	#CCA0BF	chr18
contig-0000108	#CCA0BF	chr18
contig-0000109	#CCA0BF	chr18
contig-0000110	#56B4E9	chr2
contig-0000111	#56B4E9	chr2
contig-0000112	#CC8DB3	chr11
contig-0000113	#CC8DB3	chr11
contig-0000114	#CC8DB3	chr11
contig-0000115	#CC8DB3	chr11
contig-0000116	#D58C66	chr20
contig-0000117	#CC8DB3	chr11
contig-0000118	#666666	chr7
contig-0000119	#666666	chr7
contig-0000120	#666666	chr7
contig-0000121	#56B4E9	chr2
