Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	1	0	0.1648	0.38292	0.53877	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.5309	0.57799	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	9	0	0.34704	0	0.827	0.47996	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	18	0	0.23383	0	0.46606	0.23224	Included
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	50	0	0.51827	0	0.92109	0.41323	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	130	0	0.62408	0	0.84587	0.2439	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.91561	0.89043	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.94743	0.94737	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	26	0	0.20979	0.49226	0.70117	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	53	0	0.33312	0.35464	0.63509	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.79188	0.70943	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	64	0	0.41769	0	0.94082	0.52312	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	0	0	0	0.15874	0.08224	Ignored:DidNotMeet_cpg_difference
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	241	0	0.79489	0	0.92264	0.15204	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	63	0	0.41373	0	0.82492	0.4372	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	100	0	0.56848	0	0.7591	0.19062	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	203	0	0.90212	0.05491	0.94974	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	9	0	0.1993	0.45976	0.60596	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	10	0	0.3829	0.25622	0.63911	Included
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	44	0	0.41395	0.12648	0.53445	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	0	0	0	0	0.0969	0.08235	Ignored:DidNotMeet_cpg_difference
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	6	0	0.16745	0.28819	0.42931	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.68031	0.64642	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	12	0	0	0	0	0.18795	0.2807	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	0	23	0	0.24735	0.02656	0.08333	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	0	15	0	0.28823	0.62411	0.8824	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.77487	0.79118	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	39	0	0.29817	0	0.55058	0.25241	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	24	0	0	0	0	0.53448	0.5394	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	0	249	0	0.739	0.2348	0.95181	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	0	14	0	0.46397	0.39475	0.74718	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	0	26	0	0.25631	0.27681	0.49391	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.61917	0.47527	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	0	0	0	0	0.38878	0.40777	Ignored:DidNotMeet_cpg_difference
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	2	0	0.17252	0.23365	0.30835	Ignored:DidNotMeet_cpg_difference
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	1	0	0.21246	0.18987	0.38467	Ignored:DidNotMeet_cpg_difference
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.32634	0.26434	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	56	0	0.55913	0	0.93352	0.55525	Included
