Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	114.3762	0	207	0	4	0	207	0	215	0
chr11	Paternal	Maternal	1.0	481.44834	0	670	0	7	0	670	0	733	0
chr13	Paternal	Maternal	1.0	197.17064	0	289	0	3	0	289	0	326	0
chr14	Paternal	Maternal	1.0	259.9719	0	360	0	4	0	360	0	421	0
chr15	Paternal	Maternal	0.9817	488.43221000000005	9.1026	899	44	28	1	901	42	1402	44
chr16	Maternal	Paternal	1.0	157.2799	0	327	0	7	0	327	0	579	0
chr17	Maternal	Paternal	1.0	27.23904	0	72	0	1	0	72	0	139	0
chr18	Maternal	Paternal	1.0	83.33919	0	226	0	3	0	226	0	232	0
chr19	Maternal	Paternal	1.0	439.38196	0	583	0	7	0	583	0	645	0
chr2	Maternal	Paternal	0.99297	358.32120000000003	2.5361700000000003	586	13	5	1	586	13	616	37
chr20	Paternal	Maternal	1.0	938.9068500000002	0	1191	0	8	0	1191	0	1309	0
chr21	Paternal	Maternal	1.0	32.20449	0	101	0	2	0	101	0	112	0
chr22	Paternal	Maternal	1.0	50.638000000000005	0	70	0	1	0	70	0	82	0
chr3	Paternal	Maternal	1.0	9.43164	0	27	0	1	0	27	0	28	0
chr4	Maternal	Paternal	1.0	53.33054	0	62	0	1	0	62	0	62	0
chr5	Maternal	Paternal	1.0	54.99171	0	92	0	2	0	92	0	122	0
chr6	Maternal	Paternal	1.0	336.43806	0	504	0	6	0	504	0	521	0
chr7	Maternal	Paternal	0.75101	320.08815999999996	106.12393000000002	470	209	5	1	470	209	510	223
chr8	Maternal	Paternal	1.0	255.96253	0	427	0	7	0	427	0	522	0
chr9	Maternal	Paternal	0.95399	106.5665	5.13975	248	21	3	1	248	21	258	22
