Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	0.99309	126.10628000000001	0.8772000000000001	190	5	3	1	190	5	197	20
chr10	Paternal	Maternal	1.0	56.72121	0	113	0	3	0	113	0	155	0
chr11	Maternal	Paternal	1.0	521.70409	0	700	0	6	0	700	0	723	0
chr12	Paternal	Maternal	0.88709	93.50908999999999	11.902	142	40	3	1	142	40	159	40
chr13	Paternal	Maternal	0.96882	200.36844	6.447839999999999	286	33	3	2	286	33	326	47
chr14	Maternal	Paternal	1.0	306.08399999999995	0	500	0	6	0	500	0	554	0
chr15	Paternal	Maternal	0.99842	552.79907	0.87204	1039	2	32	0	1041	0	1539	0
chr16	Paternal	Maternal	1.0	198.75169	0	444	0	7	0	444	0	579	0
chr17	Maternal	Paternal	1.0	48.919000000000004	0	100	0	1	0	100	0	139	0
chr18	Paternal	Maternal	1.0	121.58993	0	231	0	3	0	231	0	232	0
chr19	Paternal	Maternal	1.0	502.11284	0	698	0	10	0	698	0	759	0
chr2	Paternal	Maternal	0.98924	326.09956	3.5457	516	15	3	1	516	15	517	32
chr20	Maternal	Paternal	1.0	965.66551	0	1263	0	8	0	1263	0	1381	0
chr21	Paternal	Maternal	1.0	42.6118	0	111	0	2	0	111	0	113	0
chr22	Maternal	Paternal	1.0	64.5897	0	92	0	2	0	92	0	104	0
chr3	Paternal	Maternal	1.0	6.48002	0	23	0	1	0	23	0	27	0
chr4	Maternal	Paternal	1.0	161.44645000000003	0	268	0	5	0	268	0	297	0
chr5	Paternal	Maternal	1.0	57.348420000000004	0	157	0	4	0	157	0	261	0
chr6	Maternal	Paternal	1.0	341.71915	0	433	0	4	0	433	0	442	0
chr7	Maternal	Paternal	1.0	557.3856199999999	0	757	0	8	0	757	0	802	0
chr8	Maternal	Paternal	1.0	347.03524	0	541	0	8	0	541	0	615	0
chr9	Paternal	Maternal	1.0	82.59648000000001	0	185	0	3	0	185	0	202	0
