#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3131	248384169	248084
syndip	chr2	0	3413	242693212	225688
syndip	chr3	0	2321	201088028	216567
syndip	chr4	0	26508	193572966	219200
syndip	chr5	0	2439	182043949	197384
syndip	chr6	0	12536	172122265	191910
syndip	chr7	0	3478	160565390	192099
syndip	chrX	0	55026	154257065	123528
syndip	chr9	0	4828	150614447	163346
syndip	chr8	0	2292	146241568	170584
syndip	chr11	0	1418	135088110	187858
syndip	chr10	0	2227	134754547	153678
syndip	chr12	0	2990	133324401	148697
syndip	chr13	0	1036	113563195	121511
syndip	chr14	0	2740	101160119	147574
syndip	chr15	0	6091	99749195	178248
syndip	chr16	0	2303	96328415	128640
syndip	chr17	0	52946	84274383	108145
syndip	chr18	0	163704	80539437	91530
syndip	chr20	0	4899	66207580	95698
syndip	chr19	0	2354	61704397	105830
syndip	chr22	0	4431	51322196	118234
syndip	chr21	0	145	45086155	58942
