contig	color	chromosome
haplotype1-0000001	#00A880	chr10
haplotype1-0000002	#CC8DB3	chr11
haplotype1-0000003	#009E73	chr3
haplotype1-0000004	#0072B2	chr5
haplotype1-0000005	#666666	chr7
haplotype1-0000006	#1A7FBA	chr12
haplotype1-0000007	#5699E9	chr9
haplotype1-0000008	#D57533	chr13
haplotype1-0000009	#8C564B	chrY
haplotype1-0000010	#0072B2	chr5
haplotype1-0000011	#E6C47F	chr22
haplotype1-0000012	#00A880	chr10
haplotype1-0000013	#D55E00	chr6
haplotype1-0000014	#338CC2	chr19
haplotype1-0000015	#1A7FBA	chr12
haplotype1-0000016	#CC8DB3	chr11
haplotype1-0000017	#D57533	chr13
haplotype1-0000018	#E69F00	chr1
haplotype1-0000019	#8C564B	chrY
haplotype1-0000020	#E69F00	chr1
haplotype1-0000021	#5699E9	chr9
haplotype1-0000022	#5699E9	chr9
haplotype1-0000023	#808080	chr21
haplotype1-0000024	#E6AB23	chr8
haplotype1-0000025	#5699E9	chr9
haplotype1-0000026	#E69F00	chr1
haplotype1-0000027	#E6AB23	chr8
haplotype1-0000028	#1A7FBA	chr12
haplotype1-0000029	#E6AB23	chr8
haplotype1-0000030	#5699E9	chr9
haplotype1-0000031	#8C564B	chrY
haplotype1-0000032	#E6B847	chr15
haplotype1-0000033	#D57533	chr13
haplotype1-0000034	#D55E00	chr6
haplotype1-0000035	#737373	chr14
haplotype1-0000036	#D57533	chr13
haplotype1-0000037	#00A880	chr10
haplotype1-0000038	#567DE9	chr16
haplotype1-0000039	#E69F00	chr1
haplotype1-0000040	#567DE9	chr16
haplotype1-0000041	#E6AB23	chr8
haplotype1-0000042	#009E73	chr3
haplotype1-0000043	#5699E9	chr9
haplotype1-0000044	#00A880	chr10
haplotype1-0000045	#338CC2	chr19
haplotype1-0000046	#D57533	chr13
haplotype1-0000047	#737373	chr14
haplotype1-0000048	#9467BD	chrX
haplotype1-0000049	#E6B847	chr15
haplotype1-0000050	#00B28C	chr17
haplotype1-0000051	#E6B847	chr15
haplotype1-0000052	#CCA0BF	chr18
haplotype1-0000053	#666666	chr7
haplotype1-0000054	#1A7FBA	chr12
haplotype1-0000055	#56B4E9	chr2
haplotype1-0000056	#D55E00	chr6
haplotype1-0000057	#56B4E9	chr2
haplotype1-0000058	#56B4E9	chr2
haplotype1-0000059	#5699E9	chr9
haplotype1-0000060	#666666	chr7
haplotype1-0000061	#D57533	chr13
haplotype1-0000062	#0072B2	chr5
haplotype1-0000063	#1A7FBA	chr12
haplotype1-0000064	#009E73	chr3
haplotype1-0000065	#CC79A7	chr4
haplotype1-0000066	#E6AB23	chr8
haplotype1-0000067	#E69F00	chr1
haplotype1-0000068	#CCA0BF	chr18
haplotype1-0000069	#5699E9	chr9
haplotype1-0000070	#666666	chr7
haplotype1-0000071	#567DE9	chr16
haplotype1-0000072	#666666	chr7
