Run	Phase	NG50	NGA50	scaffold_count	longest_scaffold	shortest_scaffold	hamming_error_rate	switch_error_rate	total_length	asmgene
chr19 combined35x	pat	61111069	2338575	4	61111069	27558	0.00116993272886809	0.002256393113822497	61224283	[0.029, 0.003, 1.0]
chr19 combined35x	mat	61247972	1504314	1	61247972	61247972	0.00116993272886809	0.002256393113822497	61247972	[0.025, 0.001, 0.0]
chr19 duplex15x	pat	47355063	1547165	4	47355063	68821	0.001921053835246764	0.0036593175372792975	60150575	[0.042, 0.004, 1.0]
chr19 duplex15x	mat	35165562	1267877	9	35165562	35531	0.001921053835246764	0.0036593175372792975	62389153	[0.07, 0.011, 1.0]
chr19 duplex20x	pat	60777122	1496784	3	60777122	97572	0.0036803144996026935	0.0029694688414889166	61000989	[0.034, 0.001, 0.0]
chr19 duplex20x	mat	60932316	2222387	1	60932316	60932316	0.0036803144996026935	0.0029694688414889166	60932316	[0.035, 0.004, 1.0]
chr19 duplex25x	pat	61326655	1496745	1	61326655	61326655	0.0017062715884972326	0.002996504078574996	61326655	[0.022, 0.001, 0.0]
chr19 duplex25x	mat	61373015	2346723	1	61373015	61373015	0.0017062715884972326	0.002996504078574996	61373015	[0.028, 0.003, 1.0]
chr19 duplex UL50x	pat	61168426	1496748	6	61168426	29925	0.0016629250852249107	0.002910239886916393	61558390	[0.02, 0.001, 0.0]
chr19 duplex UL50x	mat	61328172	2338544	1	61328172	61328172	0.0016629250852249107	0.002910239886916393	61328172	[0.027, 0.003, 1.0]
chr19 duplex UL70x	pat	61227202	2350009	1	61227202	61227202	0.0015762402521984403	0.002820757456340482	61227202	[0.025, 0.003, 1.0]
chr19 duplex UL70x	mat	61325433	1504202	1	61325433	61325433	0.0015762402521984403	0.002820757456340482	61325433	[0.022, 0.001, 0.0]
chr19 duplex UL90x	pat	61247640	2338544	1	61247640	61247640	0.0016620959029335994	0.002908788697278205	61247640	[0.024, 0.003, 1.0]
chr19 duplex UL90x	mat	61351903	1496748	1	61351903	61351903	0.0016620959029335994	0.002908788697278205	61351903	[0.018, 0.001, 0.0]
chr19 herro 120x UL50x	pat	15033438	247340	27	20046540	14952	0.49381768568261275	0.003240661777247143	39027859	[0.504, 0.033, 1.0]
chr19 herro 120x UL50x	mat	10452017	999256	247	20854481	12842	0.49381768568261275	0.003240661777247143	90181402	[0.473, 0.733, 0.0]
chr19 herro 120x UL70x	pat	38140481	284539	27	38140481	27799	0.1266087516087516	0.0017697691255731639	41812757	[0.499, 0.089, 1.0]
chr19 herro 120x UL70x	mat	31357111	818356	102	31357111	19942	0.1266087516087516	0.0017697691255731639	67026689	[0.347, 0.303, 0.0]
chr19 herro 120x UL90x	pat	13155577	533257	33	25534583	13028	0.45575948950726924	0.0025657894736842105	41057990	[0.34, 0.044, 1.0]
chr19 herro 120x UL90x	mat	45260498	1163334	172	45260498	13343	0.45575948950726924	0.0025657894736842105	85886394	[0.281, 0.317, 0.0]
chr19 herro 35x UL50x	pat	33040852	1632445	16	33040852	24618	0.004850887923398152	0.002446637981945499	60257627	[0.024, 0.001, 0.0]
chr19 herro 35x UL50x	mat	32785398	2338562	22	32785398	24254	0.004850887923398152	0.002446637981945499	60809114	[0.034, 0.009, 1.0]
chr19 herro 35x UL70x	pat	32813877	2219002	23	32813877	26682	0.4112837981690441	0.002342020098790666	61511876	[0.043, 0.013, 1.0]
chr19 herro 35x UL70x	mat	32828547	1911558	18	32828547	23352	0.4112837981690441	0.002342020098790666	60918168	[0.041, 0.007, 0.0]
chr19 herro 35x UL90x	pat	32804539	1547241	15	32804539	23352	0.004891418933164663	0.0024458126001518092	61700002	[0.024, 0.001, 0.0]
chr19 herro 35x UL90x	mat	32784006	2107642	17	32784006	23157	0.004891418933164663	0.0024458126001518092	60884497	[0.038, 0.012, 1.0]
chr19 herro 60x UL50x	pat	33081683	1952667	27	33081683	19942	0.3881986269637367	0.002232330890405189	61756461	[0.029, 0.005, 1.0]
chr19 herro 60x UL50x	mat	33615566	2107637	7	33615566	34239	0.3881986269637367	0.002232330890405189	61427946	[0.03, 0.003, 0.0]
chr19 herro 60x UL70x	pat	32878172	1911561	6	32878172	24555	0.41150312539329614	0.0022235274374895115	61594572	[0.029, 0.003, 0.0]
chr19 herro 60x UL70x	mat	33166821	1883694	29	33166821	20280	0.41150312539329614	0.0022235274374895115	61797753	[0.027, 0.003, 1.0]
chr19 herro 60x UL90x	pat	33274282	1911561	10	33274282	19221	0.41204052583103074	0.002051496755285744	61620387	[0.028, 0.001, 0.0]
chr19 herro 60x UL90x	mat	33188876	2219005	8	33188876	36422	0.41204052583103074	0.002051496755285744	61261363	[0.023, 0.005, 1.0]
duplex	pat	135276127	3255731	75	242247439	8737	0.0012996698298702598	0.0017688297717231777	2883351534	[0.056, 0.003, 0.226]
duplex	mat	154008885	3715029	101	252092331	54209	0.0012996698298702598	0.0017688297717231777	3063872242	[0.019, 0.003, 0.226]
TUE 01	pat	93738178	2655912	1001	242164150	7390	0.07916100019849374	0.0025449149666267466	2940517220	[0.106, 0.034, 0.197]
TUE 01	mat	96177761	2823992	831	193694173	7390	0.07916100019849374	0.0025449149666267466	3078348065	[0.065, 0.029, 0.259]
