contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000800	97455	unassigned	chr21	145572	48524	0.333333	non_satellite
unassigned-0000570	159647	unassigned	chr14	2066207	158939	0.0769231	non_satellite
unassigned-0000803	62791	unassigned	chr3	62809	0	0	non_satellite
unassigned-0000573	61343	unassigned	chr13	28018	28018	1	satellite
unassigned-0000534	51225	unassigned	chr13	104084	52042	0.5	satellite
unassigned-0000575	35041	unassigned	chr20	35007	35007	1	satellite
unassigned-0000576	37024	unassigned	chr3	37037	0	0	non_satellite
unassigned-0000262	31889	unassigned	chr13	31949	31949	1	satellite
unassigned-0000222	98540	unassigned	chr9	98558	98558	1	satellite
unassigned-0000264	204045	unassigned	chrX	204025	0	0	non_satellite
unassigned-0000223	91822	unassigned	chr9	91780	91780	1	satellite
unassigned-0000265	100137	unassigned	chr4	100121	0	0	non_satellite
unassigned-0000224	117691	unassigned	chr22	103728	103728	1	satellite
unassigned-0000266	48483	unassigned	chr4	48741	0	0	non_satellite
unassigned-0000225	97639	unassigned	chr21	50111	50111	1	satellite
unassigned-0000267	65513	unassigned	chr16	65539	0	0	non_satellite
unassigned-0000268	142347	unassigned	chr8	141171	0	0	non_satellite
unassigned-0000227	93202	unassigned	chr14	20204	20204	1	satellite
unassigned-0000269	208289	unassigned	chr8	208274	0	0	non_satellite
haplotype1-0000070	118205	haplotype1	chr2	118271	0	0	non_satellite
haplotype1-0000071	107690	haplotype1	chr7	107745	0	0	non_satellite
haplotype1-0000030	48852	haplotype1	chr7	48838	0	0	non_satellite
haplotype1-0000072	63542	haplotype1	chr8	63542	0	0	non_satellite
haplotype1-0000031	186967	haplotype1	chr6	147612	147612	1	satellite
haplotype1-0000073	204351	haplotype1	chr6	204322	0	0	non_satellite
haplotype1-0000032	171243	haplotype1	chr6	155764	155764	1	satellite
haplotype1-0000034	59838	haplotype1	chr16	59859	0	0	non_satellite
haplotype1-0000035	28093	haplotype1	chr16	28089	0	0	non_satellite
haplotype1-0000036	123684	haplotype1	chr19	123683	0	0	non_satellite
haplotype1-0000037	134670	haplotype1	chr9	403974	134658	0.333333	non_satellite
unassigned-0000650	80457	unassigned	chr8	84236	0	0	non_satellite
unassigned-0000651	85019	unassigned	chr7	85001	0	0	non_satellite
unassigned-0000693	66925	unassigned	chrX	66921	0	0	non_satellite
unassigned-0000652	91375	unassigned	chr2	91228	0	0	non_satellite
unassigned-0000694	27258	unassigned	chrX	27232	0	0	non_satellite
unassigned-0000653	42028	unassigned	chr9	42040	42040	1	satellite
unassigned-0000695	84731	unassigned	chr13	171148	85574	0.5	satellite
unassigned-0000654	124359	unassigned	chr2	124340	0	0	non_satellite
unassigned-0000380	103040	unassigned	chr13	100575	100575	1	satellite
unassigned-0000655	31710	unassigned	chr7	31679	31679	1	satellite
unassigned-0000614	119413	unassigned	chr5	119494	0	0	non_satellite
unassigned-0000340	178515	unassigned	chr21	87820	87820	1	satellite
unassigned-0000300	81616	unassigned	chr6	81581	0	0	non_satellite
unassigned-0000697	54682	unassigned	chr16	54601	0	0	non_satellite
unassigned-0000615	155717	unassigned	chr5	155801	0	0	non_satellite
unassigned-0000301	112572	unassigned	chr6	112579	0	0	non_satellite
unassigned-0000698	131815	unassigned	chr1	131831	0	0	non_satellite
unassigned-0000383	22627	unassigned	chr15	22600	22600	1	satellite
unassigned-0000616	102976	unassigned	chr13	514670	102934	0.2	non_satellite
unassigned-0000342	40129	unassigned	chr7	40114	40114	1	satellite
unassigned-0000699	114088	unassigned	chrX	114071	0	0	non_satellite
unassigned-0000302	72766	unassigned	chr6	72772	0	0	non_satellite
unassigned-0000617	195139	unassigned	chr1	195147	0	0	non_satellite
unassigned-0000343	98394	unassigned	chr6	98404	0	0	non_satellite
unassigned-0000303	102184	unassigned	chr22	102158	0	0	non_satellite
unassigned-0000385	92480	unassigned	chr21	19995	19995	1	satellite
unassigned-0000344	171515	unassigned	chr2	171479	0	0	non_satellite
unassigned-0000304	151822	unassigned	chr20	151799	151799	1	satellite
unassigned-0000345	31601	unassigned	chr7	31556	31556	1	satellite
unassigned-0000346	153006	unassigned	chr7	458787	152929	0.333333	non_satellite
unassigned-0000306	467159	unassigned	chr13	1012674	388652	0.383788	non_satellite
unassigned-0000347	58930	unassigned	chr7	58924	58924	1	satellite
unassigned-0000348	62482	unassigned	chr7	62364	62364	1	satellite
unassigned-0000308	98446	unassigned	chr16	98411	0	0	non_satellite
unassigned-0000349	198328	unassigned	chr15	189724	189724	1	satellite
unassigned-0000309	56625	unassigned	chr14	56620	0	0	non_satellite
haplotype2-0000150	110439	haplotype2	chr17	110577	110577	1	satellite
haplotype2-0000152	64168	haplotype2	chrX	60020	60020	1	satellite
haplotype2-0000153	822175	haplotype2	chr15	7652846	779856	0.101904	non_satellite
haplotype2-0000113	27607	haplotype2	chr11	27570	0	0	non_satellite
haplotype2-0000114	89764	haplotype2	chr13	86815	86815	1	satellite
haplotype2-0000115	53253	haplotype2	chr19	53272	0	0	non_satellite
haplotype2-0000157	105977	haplotype2	chrX	105939	0	0	non_satellite
haplotype2-0000158	87358	haplotype2	chr2	87322	0	0	non_satellite
haplotype2-0000118	52400	haplotype2	chrX	52376	0	0	non_satellite
haplotype2-0000159	97089	haplotype2	chr7	435094	96500	0.221791	non_satellite
unassigned-0000730	85145	unassigned	chr22	85138	0	0	non_satellite
unassigned-0000773	239788	unassigned	chr13	846190	256165	0.302728	non_satellite
unassigned-0000733	142180	unassigned	chr21	43910	43910	1	satellite
unassigned-0000734	133789	unassigned	chr22	119713	119713	1	satellite
unassigned-0000461	108234	unassigned	chr21	22418	22418	1	satellite
unassigned-0000420	200862	unassigned	chr14	399022	199511	0.5	satellite
unassigned-0000777	215389	unassigned	chr6	215358	0	0	non_satellite
unassigned-0000736	88398	unassigned	chr14	60183	60183	1	satellite
unassigned-0000421	28657	unassigned	chr8	28678	0	0	non_satellite
unassigned-0000737	122605	unassigned	chr16	367797	122599	0.333333	non_satellite
unassigned-0000738	32700	unassigned	chr16	32679	32679	1	satellite
unassigned-0000739	60024	unassigned	chr16	300240	60048	0.2	non_satellite
unassigned-0000465	51166	unassigned	chr21	101372	50686	0.5	satellite
unassigned-0000191	102258	unassigned	chr15	106200	0	0	non_satellite
unassigned-0000192	33712	unassigned	chr15	33724	0	0	non_satellite
unassigned-0000425	28679	unassigned	chr7	28698	0	0	non_satellite
unassigned-0000467	46921	unassigned	chr14	46892	0	0	non_satellite
unassigned-0000193	77478	unassigned	chr16	77469	0	0	non_satellite
unassigned-0000426	115671	unassigned	chr21	52372	52372	1	satellite
unassigned-0000194	113880	unassigned	chr16	113902	0	0	non_satellite
unassigned-0000195	55237	unassigned	chr16	55232	0	0	non_satellite
unassigned-0000196	47076	unassigned	chr16	47046	0	0	non_satellite
unassigned-0000197	17800	unassigned	chr16	17770	0	0	non_satellite
unassigned-0000198	103249	unassigned	chrX	103237	0	0	non_satellite
unassigned-0000581	69980	unassigned	chr14	69960	0	0	non_satellite
unassigned-0000540	62798	unassigned	chr22	61292	61292	1	satellite
unassigned-0000541	87149	unassigned	chr14	44103	44103	1	satellite
unassigned-0000583	169194	unassigned	chr14	1401424	156103	0.111389	non_satellite
unassigned-0000542	66991	unassigned	chr16	411823	67528	0.163973	non_satellite
unassigned-0000543	79072	unassigned	chr13	77771	77771	1	satellite
unassigned-0000270	95746	unassigned	chrX	95742	0	0	non_satellite
unassigned-0000585	305021	unassigned	chr14	1514605	298408	0.19702	non_satellite
unassigned-0000503	91390	unassigned	chr14	19747	19747	1	satellite
unassigned-0000230	32281	unassigned	chr8	32263	0	0	non_satellite
unassigned-0000587	207161	unassigned	chr14	1525796	194435	0.127432	non_satellite
unassigned-0000546	32639	unassigned	chr16	163035	32607	0.2	non_satellite
unassigned-0000272	75893	unassigned	chr16	75931	0	0	non_satellite
unassigned-0000273	96838	unassigned	chr13	85571	85571	1	satellite
unassigned-0000506	97051	unassigned	chr9	103694	0	0	non_satellite
unassigned-0000232	29752	unassigned	chr19	29725	0	0	non_satellite
unassigned-0000274	51428	unassigned	chr16	51414	0	0	non_satellite
unassigned-0000233	125559	unassigned	chr2	125438	0	0	non_satellite
unassigned-0000275	49473	unassigned	chr22	26219	26219	1	satellite
unassigned-0000508	116315	unassigned	chr13	238036	119018	0.5	satellite
