contig	color	chromosome
haplotype1-0000001	#D57533	chr13
haplotype1-0000002	#808080	chr21
haplotype1-0000003	#00A880	chr10
haplotype1-0000004	#0072B2	chr5
haplotype1-0000005	#D58C66	chr20
haplotype1-0000006	#737373	chr14
haplotype1-0000007	#CC8DB3	chr11
haplotype1-0000008	#CC79A7	chr4
haplotype1-0000009	#56B4E9	chr2
haplotype1-0000010	#666666	chr7
haplotype1-0000011	#D55E00	chr6
haplotype1-0000012	#CCA0BF	chr18
haplotype1-0000013	#E6AB23	chr8
haplotype1-0000014	#1A7FBA	chr12
haplotype1-0000015	#338CC2	chr19
haplotype1-0000016	#009E73	chr3
haplotype1-0000017	#00B28C	chr17
haplotype1-0000018	#567DE9	chr16
haplotype1-0000019	#5699E9	chr9
haplotype1-0000020	#9467BD	chrX
haplotype1-0000021	#E6B847	chr15
haplotype1-0000022	#E69F00	chr1
haplotype1-0000023	#E6B847	chr15
haplotype1-0000024	#E6C47F	chr22
haplotype1-0000025	#009E73	chr3
haplotype1-0000026	#009E73	chr3
haplotype1-0000027	#009E73	chr3
haplotype1-0000028	#00A880	chr10
haplotype1-0000029	#666666	chr7
haplotype1-0000030	#E69F00	chr1
haplotype1-0000031	#E69F00	chr1
haplotype1-0000032	#E69F00	chr1
haplotype1-0000033	#E69F00	chr1
haplotype1-0000034	#E69F00	chr1
haplotype1-0000035	#E69F00	chr1
haplotype1-0000036	#E69F00	chr1
haplotype1-0000037	#E69F00	chr1
haplotype1-0000038	#E69F00	chr1
haplotype1-0000039	#E69F00	chr1
haplotype1-0000040	#E69F00	chr1
haplotype1-0000041	#E69F00	chr1
haplotype1-0000042	#E69F00	chr1
haplotype1-0000043	#E69F00	chr1
haplotype1-0000044	#E69F00	chr1
haplotype1-0000045	#56B4E9	chr2
haplotype1-0000046	#E69F00	chr1
haplotype1-0000047	#CC8DB3	chr11
haplotype2-0000048	#E6C47F	chr22
haplotype2-0000049	#D57533	chr13
haplotype2-0000050	#D58C66	chr20
haplotype2-0000051	#0072B2	chr5
haplotype2-0000052	#737373	chr14
haplotype2-0000053	#CC8DB3	chr11
haplotype2-0000054	#CC79A7	chr4
haplotype2-0000055	#808080	chr21
haplotype2-0000056	#00A880	chr10
haplotype2-0000057	#D57533	chr13
haplotype2-0000058	#D57533	chr13
haplotype2-0000059	#56B4E9	chr2
haplotype2-0000060	#E69F00	chr1
haplotype2-0000061	#D55E00	chr6
haplotype2-0000062	#CCA0BF	chr18
haplotype2-0000063	#E6AB23	chr8
haplotype2-0000064	#1A7FBA	chr12
haplotype2-0000065	#338CC2	chr19
haplotype2-0000066	#009E73	chr3
haplotype2-0000067	#00B28C	chr17
haplotype2-0000068	#567DE9	chr16
haplotype2-0000069	#5699E9	chr9
haplotype2-0000070	#9467BD	chrX
haplotype2-0000071	#E6B847	chr15
haplotype2-0000072	#666666	chr7
haplotype2-0000073	#00B28C	chr17
haplotype2-0000074	#D58C66	chr20
haplotype2-0000075	#CC79A7	chr4
haplotype2-0000076	#CC79A7	chr4
haplotype2-0000077	#CC79A7	chr4
haplotype2-0000078	#808080	chr21
haplotype2-0000079	#D57533	chr13
haplotype2-0000080	#CC79A7	chr4
haplotype2-0000081	#CC79A7	chr4
haplotype2-0000082	#E69F00	chr1
haplotype2-0000083	#56B4E9	chr2
unassigned-0000084	#737373	chr14
unassigned-0000085	#808080	chr21
unassigned-0000086	#808080	chr21
unassigned-0000087	#808080	chr21
unassigned-0000088	#808080	chr21
unassigned-0000089	#E6C47F	chr22
unassigned-0000090	#808080	chr21
unassigned-0000091	#808080	chr21
unassigned-0000092	#00B28C	chr17
unassigned-0000093	#808080	chr21
unassigned-0000094	#808080	chr21
unassigned-0000095	#808080	chr21
unassigned-0000096	#808080	chr21
unassigned-0000097	#D57533	chr13
unassigned-0000098	#737373	chr14
unassigned-0000099	#E6C47F	chr22
unassigned-0000100	#737373	chr14
unassigned-0000101	#D57533	chr13
unassigned-0000102	#D57533	chr13
unassigned-0000103	#808080	chr21
unassigned-0000104	#808080	chr21
unassigned-0000105	#00B28C	chr17
unassigned-0000107	#808080	chr21
unassigned-0000108	#737373	chr14
unassigned-0000109	#808080	chr21
unassigned-0000110	#808080	chr21
unassigned-0000111	#808080	chr21
unassigned-0000112	#808080	chr21
unassigned-0000113	#808080	chr21
unassigned-0000114	#737373	chr14
unassigned-0000115	#808080	chr21
unassigned-0000116	#808080	chr21
unassigned-0000117	#808080	chr21
unassigned-0000118	#808080	chr21
unassigned-0000119	#00B28C	chr17
unassigned-0000120	#808080	chr21
unassigned-0000121	#808080	chr21
unassigned-0000122	#808080	chr21
unassigned-0000123	#808080	chr21
unassigned-0000124	#737373	chr14
unassigned-0000125	#737373	chr14
unassigned-0000126	#737373	chr14
unassigned-0000127	#737373	chr14
unassigned-0000128	#737373	chr14
unassigned-0000129	#737373	chr14
unassigned-0000130	#737373	chr14
unassigned-0000131	#808080	chr21
unassigned-0000133	#808080	chr21
unassigned-0000134	#808080	chr21
unassigned-0000135	#00B28C	chr17
unassigned-0000136	#808080	chr21
unassigned-0000138	#E6C47F	chr22
unassigned-0000139	#808080	chr21
unassigned-0000140	#737373	chr14
unassigned-0000141	#808080	chr21
unassigned-0000142	#D57533	chr13
unassigned-0000143	#D58C66	chr20
unassigned-0000144	#56B4E9	chr2
unassigned-0000146	#E6C47F	chr22
unassigned-0000147	#737373	chr14
unassigned-0000148	#00A880	chr10
unassigned-0000149	#D58C66	chr20
unassigned-0000151	#808080	chr21
unassigned-0000152	#808080	chr21
unassigned-0000153	#808080	chr21
unassigned-0000154	#D57533	chr13
unassigned-0000155	#808080	chr21
unassigned-0000156	#808080	chr21
unassigned-0000157	#808080	chr21
unassigned-0000158	#00B28C	chr17
unassigned-0000159	#D57533	chr13
unassigned-0000164	#D57533	chr13
unassigned-0000166	#D57533	chr13
unassigned-0000168	#00B28C	chr17
unassigned-0000169	#808080	chr21
unassigned-0000170	#808080	chr21
unassigned-0000171	#E6C47F	chr22
unassigned-0000172	#D57533	chr13
unassigned-0000174	#737373	chr14
unassigned-0000175	#808080	chr21
unassigned-0000176	#D57533	chr13
unassigned-0000177	#737373	chr14
unassigned-0000178	#D57533	chr13
unassigned-0000179	#737373	chr14
unassigned-0000180	#737373	chr14
unassigned-0000181	#D57533	chr13
unassigned-0000182	#808080	chr21
unassigned-0000183	#D57533	chr13
unassigned-0000184	#D57533	chr13
unassigned-0000185	#D57533	chr13
unassigned-0000186	#D57533	chr13
unassigned-0000187	#D57533	chr13
unassigned-0000188	#D57533	chr13
unassigned-0000189	#D57533	chr13
unassigned-0000190	#D57533	chr13
unassigned-0000191	#808080	chr21
unassigned-0000193	#808080	chr21
unassigned-0000194	#D57533	chr13
unassigned-0000195	#D57533	chr13
unassigned-0000196	#E6B847	chr15
unassigned-0000197	#E6B847	chr15
unassigned-0000198	#808080	chr21
unassigned-0000199	#D57533	chr13
unassigned-0000200	#737373	chr14
unassigned-0000202	#E6B847	chr15
unassigned-0000203	#D57533	chr13
unassigned-0000204	#D57533	chr13
unassigned-0000205	#808080	chr21
unassigned-0000206	#737373	chr14
unassigned-0000207	#D58C66	chr20
unassigned-0000209	#D57533	chr13
unassigned-0000210	#737373	chr14
unassigned-0000211	#737373	chr14
unassigned-0000212	#737373	chr14
unassigned-0000213	#737373	chr14
unassigned-0000215	#D57533	chr13
unassigned-0000216	#CC8DB3	chr11
unassigned-0000217	#808080	chr21
unassigned-0000218	#D57533	chr13
unassigned-0000220	#0072B2	chr5
unassigned-0000222	#D55E00	chr6
unassigned-0000223	#D57533	chr13
unassigned-0000225	#E6B847	chr15
unassigned-0000226	#E6B847	chr15
unassigned-0000227	#D57533	chr13
unassigned-0000228	#E6B847	chr15
unassigned-0000229	#D57533	chr13
unassigned-0000230	#D57533	chr13
unassigned-0000233	#E6B847	chr15
unassigned-0000234	#737373	chr14
unassigned-0000235	#D57533	chr13
unassigned-0000236	#D57533	chr13
unassigned-0000237	#D57533	chr13
unassigned-0000238	#D57533	chr13
unassigned-0000239	#737373	chr14
unassigned-0000240	#D57533	chr13
unassigned-0000243	#808080	chr21
unassigned-0000244	#D57533	chr13
unassigned-0000245	#D57533	chr13
unassigned-0000246	#D57533	chr13
unassigned-0000247	#D57533	chr13
unassigned-0000248	#D57533	chr13
unassigned-0000249	#D57533	chr13
unassigned-0000250	#D57533	chr13
unassigned-0000251	#D57533	chr13
unassigned-0000252	#D57533	chr13
unassigned-0000253	#D57533	chr13
unassigned-0000254	#D57533	chr13
unassigned-0000255	#D57533	chr13
unassigned-0000256	#D57533	chr13
unassigned-0000257	#D57533	chr13
unassigned-0000259	#D57533	chr13
unassigned-0000261	#D57533	chr13
unassigned-0000262	#808080	chr21
unassigned-0000263	#E6B847	chr15
unassigned-0000264	#737373	chr14
unassigned-0000265	#808080	chr21
unassigned-0000266	#808080	chr21
unassigned-0000267	#D57533	chr13
unassigned-0000271	#808080	chr21
unassigned-0000272	#D57533	chr13
unassigned-0000273	#D57533	chr13
unassigned-0000278	#737373	chr14
unassigned-0000279	#737373	chr14
unassigned-0000280	#D57533	chr13
unassigned-0000281	#D57533	chr13
unassigned-0000282	#D57533	chr13
unassigned-0000283	#808080	chr21
unassigned-0000284	#808080	chr21
unassigned-0000285	#737373	chr14
unassigned-0000286	#808080	chr21
unassigned-0000287	#D57533	chr13
unassigned-0000289	#D57533	chr13
unassigned-0000290	#808080	chr21
unassigned-0000291	#D57533	chr13
unassigned-0000292	#D57533	chr13
unassigned-0000295	#D57533	chr13
unassigned-0000296	#D57533	chr13
unassigned-0000297	#D57533	chr13
unassigned-0000299	#D57533	chr13
unassigned-0000300	#D57533	chr13
unassigned-0000303	#56B4E9	chr2
unassigned-0000305	#808080	chr21
unassigned-0000306	#808080	chr21
unassigned-0000307	#D57533	chr13
unassigned-0000309	#0072B2	chr5
unassigned-0000310	#D57533	chr13
unassigned-0000311	#D57533	chr13
unassigned-0000312	#D57533	chr13
unassigned-0000313	#D57533	chr13
unassigned-0000314	#737373	chr14
unassigned-0000315	#D57533	chr13
unassigned-0000316	#D57533	chr13
unassigned-0000319	#808080	chr21
unassigned-0000320	#808080	chr21
unassigned-0000321	#D57533	chr13
unassigned-0000322	#D57533	chr13
unassigned-0000323	#D57533	chr13
unassigned-0000324	#D57533	chr13
unassigned-0000325	#D57533	chr13
unassigned-0000326	#737373	chr14
unassigned-0000327	#E6B847	chr15
unassigned-0000328	#E6C47F	chr22
unassigned-0000331	#E6C47F	chr22
unassigned-0000332	#D57533	chr13
unassigned-0000333	#1A7FBA	chr12
unassigned-0000335	#808080	chr21
unassigned-0000336	#D57533	chr13
unassigned-0000337	#D57533	chr13
unassigned-0000338	#D57533	chr13
unassigned-0000339	#D57533	chr13
unassigned-0000340	#D57533	chr13
unassigned-0000341	#808080	chr21
unassigned-0000342	#D57533	chr13
unassigned-0000343	#737373	chr14
unassigned-0000345	#808080	chr21
unassigned-0000346	#D57533	chr13
unassigned-0000347	#D57533	chr13
unassigned-0000349	#737373	chr14
unassigned-0000350	#D57533	chr13
unassigned-0000351	#D57533	chr13
unassigned-0000352	#D57533	chr13
unassigned-0000353	#D57533	chr13
unassigned-0000354	#D57533	chr13
unassigned-0000355	#D57533	chr13
unassigned-0000356	#D57533	chr13
unassigned-0000357	#D57533	chr13
unassigned-0000358	#D57533	chr13
unassigned-0000359	#D57533	chr13
unassigned-0000360	#D57533	chr13
unassigned-0000361	#D57533	chr13
unassigned-0000362	#D57533	chr13
unassigned-0000363	#E6C47F	chr22
unassigned-0000364	#D57533	chr13
unassigned-0000366	#D57533	chr13
unassigned-0000367	#D57533	chr13
unassigned-0000368	#D57533	chr13
unassigned-0000369	#808080	chr21
unassigned-0000370	#D57533	chr13
unassigned-0000371	#D57533	chr13
unassigned-0000373	#D57533	chr13
unassigned-0000374	#338CC2	chr19
unassigned-0000375	#737373	chr14
unassigned-0000376	#D57533	chr13
unassigned-0000377	#808080	chr21
unassigned-0000381	#E69F00	chr1
unassigned-0000383	#737373	chr14
unassigned-0000384	#737373	chr14
unassigned-0000385	#737373	chr14
unassigned-0000386	#D57533	chr13
unassigned-0000387	#D57533	chr13
unassigned-0000388	#D57533	chr13
unassigned-0000389	#808080	chr21
unassigned-0000390	#737373	chr14
unassigned-0000391	#E6C47F	chr22
unassigned-0000392	#E6B847	chr15
unassigned-0000393	#D57533	chr13
unassigned-0000394	#737373	chr14
unassigned-0000395	#D57533	chr13
unassigned-0000396	#CC79A7	chr4
unassigned-0000397	#E6B847	chr15
unassigned-0000398	#E6C47F	chr22
unassigned-0000399	#E6B847	chr15
unassigned-0000400	#D57533	chr13
unassigned-0000401	#808080	chr21
unassigned-0000402	#E6B847	chr15
unassigned-0000403	#808080	chr21
unassigned-0000404	#808080	chr21
unassigned-0000405	#E69F00	chr1
unassigned-0000407	#D57533	chr13
unassigned-0000411	#D57533	chr13
unassigned-0000412	#808080	chr21
unassigned-0000413	#808080	chr21
unassigned-0000414	#D57533	chr13
unassigned-0000416	#E6B847	chr15
unassigned-0000417	#D57533	chr13
unassigned-0000418	#808080	chr21
unassigned-0000420	#D57533	chr13
unassigned-0000421	#56B4E9	chr2
unassigned-0000422	#E6B847	chr15
unassigned-0000423	#808080	chr21
unassigned-0000424	#808080	chr21
unassigned-0000427	#808080	chr21
unassigned-0000428	#808080	chr21
unassigned-0000429	#737373	chr14
unassigned-0000430	#D58C66	chr20
unassigned-0000431	#CC79A7	chr4
unassigned-0000433	#0072B2	chr5
unassigned-0000435	#E6B847	chr15
unassigned-0000436	#D57533	chr13
unassigned-0000438	#E6C47F	chr22
unassigned-0000439	#5699E9	chr9
unassigned-0000440	#D57533	chr13
unassigned-0000441	#808080	chr21
unassigned-0000442	#E6B847	chr15
unassigned-0000443	#D57533	chr13
unassigned-0000444	#D57533	chr13
unassigned-0000445	#D57533	chr13
unassigned-0000446	#E6B847	chr15
unassigned-0000447	#737373	chr14
unassigned-0000448	#808080	chr21
unassigned-0000449	#D57533	chr13
unassigned-0000450	#E69F00	chr1
unassigned-0000452	#808080	chr21
unassigned-0000453	#E6B847	chr15
unassigned-0000454	#D57533	chr13
unassigned-0000455	#E6B847	chr15
unassigned-0000456	#808080	chr21
unassigned-0000457	#737373	chr14
unassigned-0000458	#737373	chr14
unassigned-0000459	#E6B847	chr15
unassigned-0000460	#D57533	chr13
unassigned-0000461	#9467BD	chrX
unassigned-0000462	#E6C47F	chr22
unassigned-0000464	#CC8DB3	chr11
unassigned-0000465	#E6B847	chr15
unassigned-0000466	#D57533	chr13
unassigned-0000467	#737373	chr14
unassigned-0000468	#D57533	chr13
unassigned-0000469	#E6B847	chr15
unassigned-0000470	#D57533	chr13
unassigned-0000471	#D57533	chr13
unassigned-0000472	#D57533	chr13
unassigned-0000473	#E6B847	chr15
unassigned-0000474	#E6B847	chr15
unassigned-0000475	#E6B847	chr15
unassigned-0000476	#D57533	chr13
unassigned-0000477	#D57533	chr13
unassigned-0000478	#D57533	chr13
