contig	color
contig-0000001	#737373	chr14
contig-0000002	#D57533	chr13
contig-0000003	#808080	chr21
contig-0000004	#5699E9	chr9
contig-0000005	#CC8DB3	chr11
contig-0000006	#CC8DB3	chr11
contig-0000007	#CC8DB3	chr11
contig-0000008	#E6C47F	chr22
contig-0000009	#0072B2	chr5
contig-0000010	#00B28C	chr17
contig-0000011	#00B28C	chr17
contig-0000012	#00B28C	chr17
contig-0000013	#00B28C	chr17
contig-0000014	#00B28C	chr17
contig-0000015	#00B28C	chr17
contig-0000016	#00B28C	chr17
contig-0000017	#00B28C	chr17
contig-0000018	#E6AB23	chr8
contig-0000019	#E6AB23	chr8
contig-0000020	#E6AB23	chr8
contig-0000021	#808080	chr21
contig-0000022	#E6AB23	chr8
contig-0000023	#E6AB23	chr8
contig-0000024	#808080	chr21
contig-0000025	#808080	chr21
contig-0000026	#CC79A7	chr4
contig-0000027	#CC79A7	chr4
contig-0000028	#CC79A7	chr4
contig-0000029	#D57533	chr13
contig-0000030	#CC79A7	chr4
contig-0000031	#CC79A7	chr4
contig-0000032	#CC8DB3	chr11
contig-0000033	#CC8DB3	chr11
contig-0000034	#CC8DB3	chr11
contig-0000035	#CC8DB3	chr11
contig-0000036	#CC8DB3	chr11
contig-0000037	#CC8DB3	chr11
contig-0000038	#0072B2	chr5
contig-0000039	#0072B2	chr5
contig-0000040	#D57533	chr13
contig-0000041	#0072B2	chr5
contig-0000042	#0072B2	chr5
contig-0000043	#0072B2	chr5
contig-0000044	#CC8DB3	chr11
contig-0000045	#CC8DB3	chr11
contig-0000046	#CC8DB3	chr11
contig-0000047	#CC8DB3	chr11
contig-0000048	#00B28C	chr17
contig-0000049	#00B28C	chr17
contig-0000050	#00B28C	chr17
contig-0000051	#D57533	chr13
contig-0000052	#009E73	chr3
contig-0000053	#009E73	chr3
contig-0000054	#009E73	chr3
contig-0000055	#009E73	chr3
contig-0000056	#009E73	chr3
contig-0000057	#D55E00	chr6
contig-0000058	#D55E00	chr6
contig-0000059	#D55E00	chr6
contig-0000060	#D55E00	chr6
contig-0000061	#D55E00	chr6
contig-0000062	#E6B847	chr15
contig-0000063	#00A880	chr10
contig-0000064	#00A880	chr10
contig-0000065	#00A880	chr10
contig-0000066	#00A880	chr10
contig-0000067	#00A880	chr10
contig-0000068	#666666	chr7
contig-0000069	#666666	chr7
contig-0000070	#666666	chr7
contig-0000071	#666666	chr7
contig-0000072	#666666	chr7
contig-0000073	#E6C47F	chr22
contig-0000074	#CC79A7	chr4
contig-0000075	#CC79A7	chr4
contig-0000076	#CC79A7	chr4
contig-0000077	#CC79A7	chr4
contig-0000078	#CC79A7	chr4
contig-0000079	#CC79A7	chr4
contig-0000080	#CC79A7	chr4
contig-0000081	#CC79A7	chr4
contig-0000082	#CC79A7	chr4
contig-0000083	#CC79A7	chr4
contig-0000084	#808080	chr21
contig-0000085	#CC79A7	chr4
contig-0000086	#E6B847	chr15
contig-0000087	#808080	chr21
contig-0000088	#808080	chr21
contig-0000089	#808080	chr21
contig-0000090	#808080	chr21
contig-0000091	#808080	chr21
contig-0000092	#E6B847	chr15
contig-0000093	#808080	chr21
contig-0000094	#808080	chr21
contig-0000095	#808080	chr21
contig-0000096	#808080	chr21
contig-0000097	#808080	chr21
contig-0000098	#E6AB23	chr8
contig-0000099	#E6AB23	chr8
contig-0000100	#E6AB23	chr8
contig-0000101	#0072B2	chr5
contig-0000102	#737373	chr14
contig-0000103	#737373	chr14
contig-0000104	#737373	chr14
contig-0000105	#737373	chr14
contig-0000106	#737373	chr14
contig-0000107	#737373	chr14
contig-0000108	#737373	chr14
contig-0000109	#737373	chr14
contig-0000110	#737373	chr14
contig-0000111	#0072B2	chr5
contig-0000112	#E69F00	chr1
contig-0000113	#E69F00	chr1
contig-0000114	#E69F00	chr1
contig-0000115	#E69F00	chr1
contig-0000116	#E69F00	chr1
contig-0000117	#E69F00	chr1
contig-0000118	#808080	chr21
contig-0000119	#E69F00	chr1
contig-0000120	#0072B2	chr5
contig-0000121	#0072B2	chr5
contig-0000122	#0072B2	chr5
contig-0000123	#56B4E9	chr2
contig-0000124	#56B4E9	chr2
contig-0000125	#56B4E9	chr2
contig-0000126	#56B4E9	chr2
contig-0000127	#56B4E9	chr2
contig-0000128	#666666	chr7
contig-0000129	#666666	chr7
contig-0000130	#D55E00	chr6
contig-0000131	#D55E00	chr6
contig-0000132	#D55E00	chr6
contig-0000133	#1A7FBA	chr12
contig-0000134	#1A7FBA	chr12
contig-0000135	#1A7FBA	chr12
contig-0000136	#D55E00	chr6
contig-0000137	#D55E00	chr6
contig-0000138	#D55E00	chr6
contig-0000139	#D55E00	chr6
contig-0000140	#D55E00	chr6
contig-0000141	#009E73	chr3
contig-0000142	#009E73	chr3
contig-0000143	#D55E00	chr6
contig-0000144	#009E73	chr3
contig-0000145	#009E73	chr3
contig-0000146	#009E73	chr3
contig-0000147	#E6AB23	chr8
contig-0000148	#E6AB23	chr8
contig-0000149	#E6AB23	chr8
contig-0000150	#CC79A7	chr4
contig-0000151	#CC79A7	chr4
