contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000092	96078	unassigned	chr7	96057	0	0	non_satellite
unassigned-0000112	97639	unassigned	chr22	96209	96209	1	satellite
unassigned-0000553	109701	unassigned	chr21	19749	19749	1	satellite
unassigned-0000800	152000	unassigned	chr16	152045	0	0	non_satellite
unassigned-0000781	67206	unassigned	chr6	67185	0	0	non_satellite
unassigned-0000113	32786	unassigned	chr15	32816	32816	1	satellite
unassigned-0000555	68327	unassigned	chr21	26341	26341	1	satellite
unassigned-0000328	74087	unassigned	chr17	54434	0	0	non_satellite
unassigned-0000114	56468	unassigned	chr15	56333	56333	1	satellite
unassigned-0000329	75571	unassigned	chr17	55596	0	0	non_satellite
unassigned-0000803	322605	unassigned	chr15	322613	0	0	non_satellite
unassigned-0000783	59310	unassigned	chr12	167439	55813	0.333333	non_satellite
unassigned-0000557	219360	unassigned	chr21	27640	27640	1	satellite
unassigned-0000805	104705	unassigned	chr5	104687	0	0	non_satellite
unassigned-0000571	142461	unassigned	chr14	142440	0	0	non_satellite
unassigned-0000130	122720	unassigned	chr13	135051	135051	1	satellite
unassigned-0000119	206907	unassigned	chr1	206828	0	0	non_satellite
unassigned-0000132	59583	unassigned	chr13	70734	59683	0.843767	satellite
unassigned-0000347	90720	unassigned	chr22	74325	74325	1	satellite
unassigned-0000360	84016	unassigned	chr21	82063	82063	1	satellite
unassigned-0000789	101462	unassigned	chr21	157074	122121	0.777474	satellite
unassigned-0000134	57115	unassigned	chr13	58517	58517	1	satellite
unassigned-0000362	58151	unassigned	chr15	57985	57985	1	satellite
unassigned-0000137	245214	unassigned	chr6	245187	0	0	non_satellite
unassigned-0000138	58639	unassigned	chr6	58672	0	0	non_satellite
unassigned-0000139	120200	unassigned	chr6	120273	0	0	non_satellite
unassigned-0000152	237776	unassigned	chr4	237814	0	0	non_satellite
unassigned-0000366	104706	unassigned	chr17	66850	0	0	non_satellite
unassigned-0000367	60280	unassigned	chr17	55596	0	0	non_satellite
unassigned-0000614	51059	unassigned	chr1	51065	0	0	non_satellite
unassigned-0000368	104912	unassigned	chr17	55596	0	0	non_satellite
unassigned-0000596	56526	unassigned	chr15	56902	56902	1	satellite
unassigned-0000155	189076	unassigned	chr21	913228	212749	0.232964	non_satellite
unassigned-0000156	228246	unassigned	chr7	228236	0	0	non_satellite
unassigned-0000385	91922	unassigned	chr13	89423	89423	1	satellite
unassigned-0000173	47120	unassigned	chr15	46889	46889	1	satellite
unassigned-0000407	214553	unassigned	chr13	187245	187245	1	satellite
unassigned-0000635	109022	unassigned	chr22	105434	105434	1	satellite
unassigned-0000389	133792	unassigned	chr13	182485	182485	1	satellite
